-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2021,32.75,-114.25,3.64,4.86,6.19,7.29,8.28,8.21,6.98,6.97,6.08,5.15,3.97,3.21,5.91
ALLSKY_SFC_SW_DWN,2021,32.75,-114.75,3.64,4.86,6.19,7.29,8.28,8.21,6.98,6.97,6.08,5.15,3.97,3.21,5.91
ALLSKY_SFC_SW_DWN,2021,32.75,-115.25,3.61,4.81,6.17,7.33,8.21,8.05,7.06,7.04,6.21,5.14,3.95,3.04,5.89
ALLSKY_SFC_SW_DWN,2021,32.75,-115.75,3.61,4.81,6.17,7.33,8.21,8.05,7.06,7.04,6.21,5.14,3.95,3.04,5.89
ALLSKY_SFC_SW_DWN,2021,32.75,-116.25,3.54,4.83,5.81,7.19,8.02,7.97,7.24,7.02,6.31,5.03,4.08,2.87,5.83
ALLSKY_SFC_SW_DWN,2021,32.75,-116.75,3.54,4.83,5.81,7.19,8.02,7.97,7.24,7.02,6.31,5.03,4.08,2.87,5.83
ALLSKY_SFC_SW_DWN,2021,32.75,-117.25,3.39,4.44,5.74,6.2,5.9,5.73,6.36,6.04,5.52,4.54,3.45,2.58,4.99
ALLSKY_SFC_SW_DWN,2021,32.75,-117.75,3.39,4.44,5.74,6.2,5.9,5.73,6.36,6.04,5.52,4.54,3.45,2.58,4.99
ALLSKY_SFC_SW_DWN,2021,32.75,-118.25,3.36,4.46,5.61,5.78,5.47,5.23,5.69,5.69,5.18,4.48,3.25,2.56,4.73
ALLSKY_SFC_SW_DWN,2021,32.75,-118.75,3.36,4.46,5.61,5.78,5.47,5.23,5.69,5.69,5.18,4.48,3.25,2.56,4.73
ALLSKY_SFC_SW_DWN,2021,33.25,-114.25,3.48,4.82,6.12,7.38,8.35,8.13,6.94,6.97,5.98,5.07,3.93,3.04,5.85
ALLSKY_SFC_SW_DWN,2021,33.25,-114.75,3.48,4.82,6.12,7.38,8.35,8.13,6.94,6.97,5.98,5.07,3.93,3.04,5.85
ALLSKY_SFC_SW_DWN,2021,33.25,-115.25,3.53,4.75,6.11,7.36,8.32,8.01,7.17,7.16,6.23,5.07,3.94,2.98,5.89
ALLSKY_SFC_SW_DWN,2021,33.25,-115.75,3.53,4.75,6.11,7.36,8.32,8.01,7.17,7.16,6.23,5.07,3.94,2.98,5.89
ALLSKY_SFC_SW_DWN,2021,33.25,-116.25,3.41,4.74,5.86,7.2,8.21,7.97,7.35,7.15,6.28,4.94,4.0,2.83,5.83
ALLSKY_SFC_SW_DWN,2021,33.25,-116.75,3.41,4.74,5.86,7.2,8.21,7.97,7.35,7.15,6.28,4.94,4.0,2.83,5.83
ALLSKY_SFC_SW_DWN,2021,33.25,-117.25,3.46,4.63,5.72,6.58,7.03,7.37,7.39,6.72,5.94,4.65,3.81,2.61,5.49
ALLSKY_SFC_SW_DWN,2021,33.25,-117.75,3.46,4.63,5.72,6.58,7.03,7.37,7.39,6.72,5.94,4.65,3.81,2.61,5.49
ALLSKY_SFC_SW_DWN,2021,33.25,-118.25,3.25,4.54,5.82,6.51,6.39,6.35,6.73,6.36,5.54,4.54,3.17,2.49,5.14
ALLSKY_SFC_SW_DWN,2021,33.25,-118.75,3.25,4.54,5.82,6.51,6.39,6.35,6.73,6.36,5.54,4.54,3.17,2.49,5.14
ALLSKY_SFC_SW_DWN,2021,33.75,-114.25,3.48,4.82,6.12,7.38,8.35,8.13,6.94,6.97,5.98,5.07,3.93,3.04,5.85
ALLSKY_SFC_SW_DWN,2021,33.75,-114.75,3.48,4.82,6.12,7.38,8.35,8.13,6.94,6.97,5.98,5.07,3.93,3.04,5.85
ALLSKY_SFC_SW_DWN,2021,33.75,-115.25,3.53,4.75,6.11,7.36,8.32,8.01,7.17,7.16,6.23,5.07,3.94,2.98,5.89
ALLSKY_SFC_SW_DWN,2021,33.75,-115.75,3.53,4.75,6.11,7.36,8.32,8.01,7.17,7.16,6.23,5.07,3.94,2.98,5.89
ALLSKY_SFC_SW_DWN,2021,33.75,-116.25,3.41,4.74,5.86,7.2,8.21,7.97,7.35,7.15,6.28,4.94,4.0,2.83,5.83
ALLSKY_SFC_SW_DWN,2021,33.75,-116.75,3.41,4.74,5.86,7.2,8.21,7.97,7.35,7.15,6.28,4.94,4.0,2.83,5.83
ALLSKY_SFC_SW_DWN,2021,33.75,-117.25,3.46,4.63,5.72,6.58,7.03,7.37,7.39,6.72,5.94,4.65,3.81,2.61,5.49
ALLSKY_SFC_SW_DWN,2021,33.75,-117.75,3.46,4.63,5.72,6.58,7.03,7.37,7.39,6.72,5.94,4.65,3.81,2.61,5.49
ALLSKY_SFC_SW_DWN,2021,33.75,-118.25,3.25,4.54,5.82,6.51,6.39,6.35,6.73,6.36,5.54,4.54,3.17,2.49,5.14
ALLSKY_SFC_SW_DWN,2021,33.75,-118.75,3.25,4.54,5.82,6.51,6.39,6.35,6.73,6.36,5.54,4.54,3.17,2.49,5.14
ALLSKY_SFC_SW_DWN,2021,34.25,-114.25,3.27,4.76,5.97,7.4,8.37,7.97,7.12,7.19,6.04,4.9,3.88,2.88,5.81
ALLSKY_SFC_SW_DWN,2021,34.25,-114.75,3.27,4.76,5.97,7.4,8.37,7.97,7.12,7.19,6.04,4.9,3.88,2.88,5.81
ALLSKY_SFC_SW_DWN,2021,34.25,-115.25,3.35,4.71,5.94,7.33,8.3,7.82,7.14,7.19,6.21,4.89,3.89,2.91,5.81
ALLSKY_SFC_SW_DWN,2021,34.25,-115.75,3.35,4.71,5.94,7.33,8.3,7.82,7.14,7.19,6.21,4.89,3.89,2.91,5.81
ALLSKY_SFC_SW_DWN,2021,34.25,-116.25,3.45,4.77,6.06,7.45,8.37,7.89,7.25,7.33,6.42,5.02,4.0,2.99,5.92
ALLSKY_SFC_SW_DWN,2021,34.25,-116.75,3.45,4.77,6.06,7.45,8.37,7.89,7.25,7.33,6.42,5.02,4.0,2.99,5.92
ALLSKY_SFC_SW_DWN,2021,34.25,-117.25,3.4,4.74,5.84,7.17,8.1,8.13,7.55,7.24,6.33,4.87,3.96,2.82,5.85
ALLSKY_SFC_SW_DWN,2021,34.25,-117.75,3.4,4.74,5.84,7.17,8.1,8.13,7.55,7.24,6.33,4.87,3.96,2.82,5.85
ALLSKY_SFC_SW_DWN,2021,34.25,-118.25,3.26,4.67,5.68,7.02,7.9,8.2,7.69,7.17,6.22,4.74,3.82,2.62,5.75
ALLSKY_SFC_SW_DWN,2021,34.25,-118.75,3.26,4.67,5.68,7.02,7.9,8.2,7.69,7.17,6.22,4.74,3.82,2.62,5.75
ALLSKY_SFC_SW_DWN,2021,34.75,-114.25,3.27,4.76,5.97,7.4,8.37,7.97,7.12,7.19,6.04,4.9,3.88,2.88,5.81
ALLSKY_SFC_SW_DWN,2021,34.75,-114.75,3.27,4.76,5.97,7.4,8.37,7.97,7.12,7.19,6.04,4.9,3.88,2.88,5.81
ALLSKY_SFC_SW_DWN,2021,34.75,-115.25,3.35,4.71,5.94,7.33,8.3,7.82,7.14,7.19,6.21,4.89,3.89,2.91,5.81
ALLSKY_SFC_SW_DWN,2021,34.75,-115.75,3.35,4.71,5.94,7.33,8.3,7.82,7.14,7.19,6.21,4.89,3.89,2.91,5.81
ALLSKY_SFC_SW_DWN,2021,34.75,-116.25,3.45,4.77,6.06,7.45,8.37,7.89,7.25,7.33,6.42,5.02,4.0,2.99,5.92
