-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2021,32.75,-119.25,3.41,4.48,5.7,5.7,5.11,5.07,4.99,4.81,4.52,4.63,3.21,2.5,4.51
ALLSKY_SFC_SW_DWN,2021,32.75,-119.75,3.41,4.48,5.7,5.7,5.11,5.07,4.99,4.81,4.52,4.63,3.21,2.5,4.51
ALLSKY_SFC_SW_DWN,2021,32.75,-120.25,3.29,4.52,5.53,5.7,5.34,5.1,4.67,4.53,4.18,4.6,3.41,2.53,4.45
ALLSKY_SFC_SW_DWN,2021,32.75,-120.75,3.29,4.52,5.53,5.7,5.34,5.1,4.67,4.53,4.18,4.6,3.41,2.53,4.45
ALLSKY_SFC_SW_DWN,2021,32.75,-121.25,3.27,4.53,5.42,5.81,5.61,5.56,4.63,4.36,4.14,4.6,3.47,2.51,4.49
ALLSKY_SFC_SW_DWN,2021,32.75,-121.75,3.27,4.53,5.42,5.81,5.61,5.56,4.63,4.36,4.14,4.6,3.47,2.51,4.49
ALLSKY_SFC_SW_DWN,2021,32.75,-122.25,3.24,4.42,5.24,5.87,5.8,5.99,4.57,4.48,4.1,4.51,3.43,2.44,4.5
ALLSKY_SFC_SW_DWN,2021,32.75,-122.75,3.24,4.42,5.24,5.87,5.8,5.99,4.57,4.48,4.1,4.51,3.43,2.44,4.5
ALLSKY_SFC_SW_DWN,2021,32.75,-123.25,3.28,4.4,5.1,5.96,6.07,6.19,4.66,4.36,4.31,4.37,3.4,2.4,4.54
ALLSKY_SFC_SW_DWN,2021,32.75,-123.75,3.28,4.4,5.1,5.96,6.07,6.19,4.66,4.36,4.31,4.37,3.4,2.4,4.54
ALLSKY_SFC_SW_DWN,2021,32.75,-124.25,3.23,4.35,4.97,6.01,6.13,6.15,4.85,4.23,4.58,4.33,3.44,2.42,4.55
ALLSKY_SFC_SW_DWN,2021,32.75,-124.75,3.23,4.35,4.97,6.01,6.13,6.15,4.85,4.23,4.58,4.33,3.44,2.42,4.55
ALLSKY_SFC_SW_DWN,2021,33.25,-119.25,3.29,4.58,5.92,6.63,6.18,6.08,6.1,5.67,4.99,4.67,3.21,2.49,4.99
ALLSKY_SFC_SW_DWN,2021,33.25,-119.75,3.29,4.58,5.92,6.63,6.18,6.08,6.1,5.67,4.99,4.67,3.21,2.49,4.99
ALLSKY_SFC_SW_DWN,2021,33.25,-120.25,3.14,4.56,5.54,5.95,5.64,5.68,5.08,4.77,4.22,4.53,3.32,2.42,4.57
ALLSKY_SFC_SW_DWN,2021,33.25,-120.75,3.14,4.56,5.54,5.95,5.64,5.68,5.08,4.77,4.22,4.53,3.32,2.42,4.57
ALLSKY_SFC_SW_DWN,2021,33.25,-121.25,3.18,4.39,5.3,5.73,5.66,5.77,4.68,4.43,3.96,4.5,3.48,2.41,4.46
ALLSKY_SFC_SW_DWN,2021,33.25,-121.75,3.18,4.39,5.3,5.73,5.66,5.77,4.68,4.43,3.96,4.5,3.48,2.41,4.46
