-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2021,45.75,-116.75,1.51,1.91,4.08,5.97,6.19,7.84,7.27,5.89,4.8,2.79,1.61,1.0,4.25
ALLSKY_SFC_SW_DWN,2021,45.75,-117.25,1.51,1.91,4.08,5.97,6.19,7.84,7.27,5.89,4.8,2.79,1.61,1.0,4.25
ALLSKY_SFC_SW_DWN,2021,45.75,-117.75,1.51,1.91,4.08,5.97,6.19,7.84,7.27,5.89,4.8,2.79,1.61,1.0,4.25
ALLSKY_SFC_SW_DWN,2021,45.75,-118.25,1.43,1.89,4.11,6.32,6.97,7.8,7.46,6.17,4.7,3.08,1.64,1.11,4.4
ALLSKY_SFC_SW_DWN,2021,45.75,-118.75,1.43,1.89,4.11,6.32,6.97,7.8,7.46,6.17,4.7,3.08,1.64,1.11,4.4
ALLSKY_SFC_SW_DWN,2021,45.75,-119.25,1.43,1.89,4.11,6.32,6.97,7.8,7.46,6.17,4.7,3.08,1.64,1.11,4.4
ALLSKY_SFC_SW_DWN,2021,45.75,-119.75,1.43,1.89,4.11,6.32,6.97,7.8,7.46,6.17,4.7,3.08,1.64,1.11,4.4
ALLSKY_SFC_SW_DWN,2021,45.75,-120.25,1.39,2.18,4.08,6.2,6.98,7.58,7.67,5.99,4.69,2.93,1.62,1.02,4.37
ALLSKY_SFC_SW_DWN,2021,45.75,-120.75,1.39,2.18,4.08,6.2,6.98,7.58,7.67,5.99,4.69,2.93,1.62,1.02,4.37
ALLSKY_SFC_SW_DWN,2021,45.75,-121.25,1.39,2.18,4.08,6.2,6.98,7.58,7.67,5.99,4.69,2.93,1.62,1.02,4.37
ALLSKY_SFC_SW_DWN,2021,45.75,-121.75,1.39,2.18,4.08,6.2,6.98,7.58,7.67,5.99,4.69,2.93,1.62,1.02,4.37
ALLSKY_SFC_SW_DWN,2021,45.75,-122.25,1.23,1.76,3.47,5.74,5.87,6.96,7.25,5.39,4.42,2.43,1.27,0.92,3.9
ALLSKY_SFC_SW_DWN,2021,45.75,-122.75,1.23,1.76,3.47,5.74,5.87,6.96,7.25,5.39,4.42,2.43,1.27,0.92,3.9
ALLSKY_SFC_SW_DWN,2021,45.75,-123.25,1.23,1.76,3.47,5.74,5.87,6.96,7.25,5.39,4.42,2.43,1.27,0.92,3.9
ALLSKY_SFC_SW_DWN,2021,45.75,-123.75,1.23,1.76,3.47,5.74,5.87,6.96,7.25,5.39,4.42,2.43,1.27,0.92,3.9
ALLSKY_SFC_SW_DWN,2021,45.75,-124.25,1.24,1.93,3.54,5.23,5.39,6.24,5.2,4.78,4.39,2.65,1.27,1.08,3.58
ALLSKY_SFC_SW_DWN,2021,45.75,-124.75,1.24,1.93,3.54,5.23,5.39,6.24,5.2,4.78,4.39,2.65,1.27,1.08,3.58
ALLSKY_SFC_SW_DWN,2021,46.25,-116.75,1.34,1.6,3.72,5.89,6.45,7.64,7.32,5.55,4.57,2.84,1.4,0.84,4.11
ALLSKY_SFC_SW_DWN,2021,46.25,-117.25,1.34,1.6,3.72,5.89,6.45,7.64,7.32,5.55,4.57,2.84,1.4,0.84,4.11
ALLSKY_SFC_SW_DWN,2021,46.25,-117.75,1.34,1.6,3.72,5.89,6.45,7.64,7.32,5.55,4.57,2.84,1.4,0.84,4.11
ALLSKY_SFC_SW_DWN,2021,46.25,-118.25,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.25,-118.75,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.25,-119.25,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.25,-119.75,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.25,-120.25,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.25,-120.75,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.25,-121.25,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.25,-121.75,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.25,-122.25,1.13,1.65,3.31,5.5,5.54,6.81,6.7,5.12,4.14,2.31,1.1,0.86,3.69
ALLSKY_SFC_SW_DWN,2021,46.25,-122.75,1.13,1.65,3.31,5.5,5.54,6.81,6.7,5.12,4.14,2.31,1.1,0.86,3.69
ALLSKY_SFC_SW_DWN,2021,46.25,-123.25,1.13,1.65,3.31,5.5,5.54,6.81,6.7,5.12,4.14,2.31,1.1,0.86,3.69
ALLSKY_SFC_SW_DWN,2021,46.25,-123.75,1.13,1.65,3.31,5.5,5.54,6.81,6.7,5.12,4.14,2.31,1.1,0.86,3.69
ALLSKY_SFC_SW_DWN,2021,46.25,-124.25,1.18,1.83,3.5,5.07,5.31,6.3,5.22,4.86,4.07,2.61,1.12,0.97,3.51
ALLSKY_SFC_SW_DWN,2021,46.25,-124.75,1.18,1.83,3.5,5.07,5.31,6.3,5.22,4.86,4.07,2.61,1.12,0.97,3.51
ALLSKY_SFC_SW_DWN,2021,46.75,-116.75,1.34,1.6,3.72,5.89,6.45,7.64,7.32,5.55,4.57,2.84,1.4,0.84,4.11
ALLSKY_SFC_SW_DWN,2021,46.75,-117.25,1.34,1.6,3.72,5.89,6.45,7.64,7.32,5.55,4.57,2.84,1.4,0.84,4.11
ALLSKY_SFC_SW_DWN,2021,46.75,-117.75,1.34,1.6,3.72,5.89,6.45,7.64,7.32,5.55,4.57,2.84,1.4,0.84,4.11
ALLSKY_SFC_SW_DWN,2021,46.75,-118.25,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.75,-118.75,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.75,-119.25,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.75,-119.75,1.32,2.09,4.26,6.11,7.15,7.83,7.54,5.83,4.64,3.11,1.47,1.1,4.38
ALLSKY_SFC_SW_DWN,2021,46.75,-120.25,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.75,-120.75,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.75,-121.25,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.75,-121.75,1.26,2.07,3.92,6.05,6.65,7.53,7.82,5.72,4.47,2.79,1.48,0.98,4.24
ALLSKY_SFC_SW_DWN,2021,46.75,-122.25,1.13,1.65,3.31,5.5,5.54,6.81,6.7,5.12,4.14,2.31,1.1,0.86,3.69
