PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,45.75,-116.75,1.62,2.68,3.58,4.36,5.07,6.34,7.85,6.44,4.64,3.36,1.69,1.02,4.06
ALLSKY_SFC_SW_DWN,2022,45.75,-117.25,1.62,2.68,3.58,4.36,5.07,6.34,7.85,6.44,4.64,3.36,1.69,1.02,4.06
ALLSKY_SFC_SW_DWN,2022,45.75,-117.75,1.62,2.68,3.58,4.36,5.07,6.34,7.85,6.44,4.64,3.36,1.69,1.02,4.06
ALLSKY_SFC_SW_DWN,2022,45.75,-118.25,1.42,2.62,3.79,4.84,5.73,6.73,7.96,6.56,4.86,3.41,1.63,1.07,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-118.75,1.42,2.62,3.79,4.84,5.73,6.73,7.96,6.56,4.86,3.41,1.63,1.07,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-119.25,1.42,2.62,3.79,4.84,5.73,6.73,7.96,6.56,4.86,3.41,1.63,1.07,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-119.75,1.42,2.62,3.79,4.84,5.73,6.73,7.96,6.56,4.86,3.41,1.63,1.07,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-120.25,1.42,2.73,3.78,4.79,5.84,6.75,7.75,6.59,4.88,3.4,1.58,1.13,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-120.75,1.42,2.73,3.78,4.79,5.84,6.75,7.75,6.59,4.88,3.4,1.58,1.13,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-121.25,1.42,2.73,3.78,4.79,5.84,6.75,7.75,6.59,4.88,3.4,1.58,1.13,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-121.75,1.42,2.73,3.78,4.79,5.84,6.75,7.75,6.59,4.88,3.4,1.58,1.13,4.23
ALLSKY_SFC_SW_DWN,2022,45.75,-122.25,1.48,2.3,3.18,4.19,4.85,5.54,7.05,6.19,4.56,3.01,1.64,0.93,3.75
ALLSKY_SFC_SW_DWN,2022,45.75,-122.75,1.48,2.3,3.18,4.19,4.85,5.54,7.05,6.19,4.56,3.01,1.64,0.93,3.75
ALLSKY_SFC_SW_DWN,2022,45.75,-123.25,1.48,2.3,3.18,4.19,4.85,5.54,7.05,6.19,4.56,3.01,1.64,0.93,3.75
ALLSKY_SFC_SW_DWN,2022,45.75,-123.75,1.48,2.3,3.18,4.19,4.85,5.54,7.05,6.19,4.56,3.01,1.64,0.93,3.75
ALLSKY_SFC_SW_DWN,2022,45.75,-124.25,1.5,2.31,3.28,4.81,5.09,5.38,5.4,4.97,4.14,2.4,1.65,1.0,3.5
ALLSKY_SFC_SW_DWN,2022,45.75,-124.75,1.5,2.31,3.28,4.81,5.09,5.38,5.4,4.97,4.14,2.4,1.65,1.0,3.5
ALLSKY_SFC_SW_DWN,2022,46.25,-116.75,1.33,2.37,3.5,4.51,5.2,6.34,7.82,6.42,4.42,3.17,1.57,0.9,3.97
ALLSKY_SFC_SW_DWN,2022,46.25,-117.25,1.33,2.37,3.5,4.51,5.2,6.34,7.82,6.42,4.42,3.17,1.57,0.9,3.97
ALLSKY_SFC_SW_DWN,2022,46.25,-117.75,1.33,2.37,3.5,4.51,5.2,6.34,7.82,6.42,4.42,3.17,1.57,0.9,3.97
ALLSKY_SFC_SW_DWN,2022,46.25,-118.25,1.06,2.6,3.93,5.11,5.88,6.8,7.78,6.58,4.61,3.28,1.61,0.89,4.19
ALLSKY_SFC_SW_DWN,2022,46.25,-118.75,1.06,2.6,3.93,5.11,5.88,6.8,7.78,6.58,4.61,3.28,1.61,0.89,4.19
ALLSKY_SFC_SW_DWN,2022,46.25,-119.25,1.06,2.6,3.93,5.11,5.88,6.8,7.78,6.58,4.61,3.28,1.61,0.89,4.19
ALLSKY_SFC_SW_DWN,2022,46.25,-119.75,1.06,2.6,3.93,5.11,5.88,6.8,7.78,6.58,4.61,3.28,1.61,0.89,4.19
ALLSKY_SFC_SW_DWN,2022,46.25,-120.25,1.42,2.62,3.67,4.51,5.45,6.43,7.64,6.53,4.6,3.27,1.63,1.0,4.07
ALLSKY_SFC_SW_DWN,2022,46.25,-120.75,1.42,2.62,3.67,4.51,5.45,6.43,7.64,6.53,4.6,3.27,1.63,1.0,4.07
ALLSKY_SFC_SW_DWN,2022,46.25,-121.25,1.42,2.62,3.67,4.51,5.45,6.43,7.64,6.53,4.6,3.27,1.63,1.0,4.07
