-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2021,42.25,-116.75,6.48,8.05,6.26,6.01,5.28,5.55,4.39,4.87,4.99,6.33,5.96,7.8,5.99
WS50M,2021,42.25,-117.25,6.3,7.57,6.03,5.79,5.25,5.36,4.31,4.76,4.83,6.16,5.85,7.36,5.79
WS50M,2021,42.25,-117.75,6.01,7.04,5.69,5.52,5.1,5.07,4.17,4.54,4.6,5.87,5.63,6.94,5.51
WS50M,2021,42.25,-118.25,5.74,6.73,5.41,5.31,4.98,4.86,4.07,4.35,4.39,5.58,5.36,6.6,5.27
WS50M,2021,42.25,-118.75,5.62,6.86,5.41,5.25,5.14,4.93,4.15,4.38,4.38,5.47,5.16,6.39,5.25
WS50M,2021,42.25,-119.25,6.54,7.57,6.17,5.81,5.72,5.42,4.5,4.84,5.11,6.25,6.12,7.28,5.94
WS50M,2021,42.25,-119.75,6.44,7.07,6.06,5.69,5.57,5.25,4.33,4.6,5.06,6.11,5.99,6.97,5.75
WS50M,2021,42.25,-120.25,5.99,6.34,5.74,5.41,5.2,4.95,4.15,4.25,4.83,5.7,5.52,6.35,5.36
WS50M,2021,42.25,-120.75,5.62,5.83,5.54,5.24,4.95,4.82,4.14,4.08,4.72,5.4,5.16,5.87,5.11
WS50M,2021,42.25,-121.25,5.5,5.45,5.48,5.17,4.96,4.89,4.12,4.09,4.72,5.32,5.01,5.58,5.02
WS50M,2021,42.25,-121.75,4.86,4.72,4.86,4.47,4.52,4.32,3.71,3.74,4.15,4.7,4.4,4.82,4.44
WS50M,2021,42.25,-122.25,4.35,3.91,4.13,3.68,3.92,3.69,3.26,3.35,3.57,3.99,3.9,4.1,3.82
WS50M,2021,42.25,-122.75,4.06,3.38,3.59,3.05,3.41,3.22,2.97,3.05,3.18,3.52,3.65,3.67,3.4
WS50M,2021,42.25,-123.25,4.07,3.3,3.45,2.78,3.25,3.08,2.99,3.02,3.13,3.48,3.66,3.59,3.32
WS50M,2021,42.25,-123.75,4.38,3.67,3.8,3.03,3.65,3.39,3.46,3.44,3.53,3.85,3.82,3.8,3.65
WS50M,2021,42.25,-124.25,6.39,5.31,5.51,4.54,5.68,5.02,6.42,5.7,5.33,5.43,5.19,5.58,5.51
WS50M,2021,42.25,-124.75,8.44,7.24,7.68,6.52,8.07,7.2,10.01,8.41,7.38,7.2,6.81,7.77,7.74
WS50M,2021,42.75,-116.75,6.32,7.99,6.31,5.98,5.45,5.43,4.33,5.04,5.09,6.36,6.11,7.7,6.0
WS50M,2021,42.75,-117.25,6.17,7.48,6.08,5.79,5.35,5.24,4.24,4.78,4.86,6.25,5.96,7.34,5.78
WS50M,2021,42.75,-117.75,5.87,7.18,5.78,5.62,5.23,5.05,4.16,4.55,4.63,6.02,5.7,6.98,5.55
WS50M,2021,42.75,-118.25,5.72,7.32,5.63,5.57,5.18,4.98,4.13,4.46,4.54,5.89,5.57,6.87,5.48
WS50M,2021,42.75,-118.75,6.0,7.63,5.82,5.63,5.42,5.2,4.21,4.55,4.72,6.04,5.79,7.03,5.66
WS50M,2021,42.75,-119.25,6.55,7.72,6.28,5.91,5.76,5.5,4.42,4.83,5.12,6.48,6.36,7.47,6.02
WS50M,2021,42.75,-119.75,6.45,7.41,6.21,5.81,5.67,5.41,4.36,4.73,5.08,6.35,6.28,7.24,5.91
WS50M,2021,42.75,-120.25,6.13,6.93,5.94,5.55,5.36,5.1,4.17,4.41,4.86,6.01,6.03,6.82,5.6
WS50M,2021,42.75,-120.75,5.76,6.31,5.6,5.22,4.96,4.74,3.95,4.03,4.6,5.6,5.71,6.29,5.22
WS50M,2021,42.75,-121.25,5.25,5.39,5.13,4.82,4.58,4.42,3.77,3.73,4.29,5.08,5.07,5.41,4.74
WS50M,2021,42.75,-121.75,4.61,4.79,4.51,4.19,4.23,3.97,3.58,3.58,3.88,4.44,4.36,4.63,4.23
WS50M,2021,42.75,-122.25,4.45,3.99,4.04,3.62,3.8,3.58,3.31,3.41,3.6,3.98,4.16,4.18,3.84
WS50M,2021,42.75,-122.75,4.29,3.42,3.63,3.15,3.42,3.27,3.18,3.27,3.34,3.66,4.01,3.84,3.54
WS50M,2021,42.75,-123.25,4.12,3.27,3.41,2.88,3.23,3.11,3.23,3.2,3.19,3.52,3.84,3.64,3.39
WS50M,2021,42.75,-123.75,4.36,3.56,3.66,2.96,3.4,3.24,3.37,3.27,3.38,3.76,3.98,3.88,3.57
WS50M,2021,42.75,-124.25,6.05,4.91,5.12,4.12,4.89,4.64,5.62,4.94,4.79,5.13,5.27,5.37,5.07
WS50M,2021,42.75,-124.75,8.26,6.81,7.33,6.02,7.07,6.7,8.72,7.33,6.69,7.04,7.14,7.63,7.24
WS50M,2021,43.25,-116.75,5.66,6.66,5.79,5.29,5.3,5.0,4.15,4.78,4.81,5.88,5.48,6.54,5.44
WS50M,2021,43.25,-117.25,5.52,6.73,5.76,5.37,5.28,4.9,4.04,4.61,4.65,5.98,5.45,6.63,5.4
