-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2021,45.75,-116.75,4.88,5.1,4.16,3.87,3.5,3.49,2.81,3.05,3.25,4.17,5.14,5.03,4.03
WS50M,2021,45.75,-117.25,5.21,5.64,4.55,4.21,3.77,3.82,3.21,3.46,3.63,4.53,5.52,5.34,4.4
WS50M,2021,45.75,-117.75,5.61,6.12,4.94,4.55,4.1,4.19,3.73,3.91,4.06,4.87,5.93,5.6,4.79
WS50M,2021,45.75,-118.25,6.17,6.67,5.37,4.92,4.54,4.59,4.31,4.39,4.51,5.23,6.45,5.95,5.25
WS50M,2021,45.75,-118.75,6.7,7.5,5.89,5.42,5.11,5.07,5.0,4.93,5.02,5.78,7.01,6.51,5.82
WS50M,2021,45.75,-119.25,6.19,7.69,5.82,5.76,5.42,5.26,5.47,5.15,5.13,5.91,6.68,6.63,5.92
WS50M,2021,45.75,-119.75,6.01,7.94,5.84,6.14,5.76,5.57,5.9,5.41,5.39,6.15,6.8,6.8,6.13
WS50M,2021,45.75,-120.25,5.53,7.72,5.54,6.2,5.77,5.61,5.92,5.37,5.31,6.06,6.55,6.5,5.99
WS50M,2021,45.75,-120.75,4.64,6.87,4.82,5.74,5.29,5.2,5.39,4.93,4.73,5.44,5.67,5.59,5.35
WS50M,2021,45.75,-121.25,3.71,5.61,3.93,4.68,4.39,4.32,4.4,4.17,3.85,4.3,4.5,4.33,4.34
WS50M,2021,45.75,-121.75,3.73,5.04,3.58,3.96,3.76,3.69,3.7,3.64,3.59,3.9,4.51,4.24,3.94
WS50M,2021,45.75,-122.25,4.17,4.79,3.59,3.6,3.47,3.38,3.35,3.31,3.56,4.1,4.75,4.29,3.86
WS50M,2021,45.75,-122.75,4.37,4.67,3.69,3.48,3.46,3.32,3.4,3.34,3.66,4.32,4.82,4.27,3.89
WS50M,2021,45.75,-123.25,4.46,4.77,3.94,3.55,3.7,3.51,3.78,3.65,3.86,4.54,4.92,4.39,4.08
WS50M,2021,45.75,-123.75,5.34,5.47,4.75,3.89,4.2,3.97,4.23,3.93,4.25,5.33,5.89,5.24,4.7
WS50M,2021,45.75,-124.25,7.43,7.4,6.78,5.09,5.75,5.54,5.97,5.32,5.72,7.55,8.25,7.55,6.52
WS50M,2021,45.75,-124.75,8.63,8.58,8.16,5.89,6.76,6.61,7.11,6.5,6.73,8.95,9.62,8.75,7.69
WS50M,2021,46.25,-116.75,4.82,5.59,4.5,4.58,4.1,4.03,3.3,3.62,3.63,4.21,5.18,4.84,4.36
WS50M,2021,46.25,-117.25,5.31,6.28,5.09,5.14,4.54,4.56,3.97,4.22,4.28,4.81,5.85,5.47,4.95
WS50M,2021,46.25,-117.75,5.81,6.72,5.55,5.57,4.88,4.99,4.58,4.7,4.83,5.36,6.45,5.99,5.44
WS50M,2021,46.25,-118.25,6.15,6.94,5.74,5.74,5.07,5.19,4.91,4.87,5.07,5.66,6.73,6.25,5.68
WS50M,2021,46.25,-118.75,5.96,7.25,5.67,5.75,5.2,5.21,4.9,4.81,5.02,5.73,6.47,6.26,5.67
WS50M,2021,46.25,-119.25,5.22,7.11,5.35,5.8,5.36,5.19,4.93,4.77,4.83,5.6,5.88,6.25,5.51
WS50M,2021,46.25,-119.75,4.96,7.16,5.31,5.94,5.57,5.34,5.11,4.9,4.97,5.71,5.87,6.28,5.58
WS50M,2021,46.25,-120.25,4.65,6.95,5.13,5.92,5.52,5.32,5.14,4.87,4.93,5.66,5.76,5.97,5.47
WS50M,2021,46.25,-120.75,4.12,6.3,4.62,5.49,5.06,4.91,4.78,4.53,4.49,5.19,5.25,5.22,4.99
WS50M,2021,46.25,-121.25,3.61,5.27,3.81,4.46,4.13,4.03,3.92,3.83,3.7,4.18,4.46,4.2,4.12
WS50M,2021,46.25,-121.75,3.72,4.8,3.53,3.71,3.61,3.49,3.44,3.48,3.51,3.81,4.49,4.1,3.8
WS50M,2021,46.25,-122.25,4.05,4.5,3.53,3.34,3.34,3.21,3.17,3.21,3.46,3.89,4.61,4.01,3.69
WS50M,2021,46.25,-122.75,4.21,4.39,3.62,3.21,3.28,3.18,3.16,3.19,3.49,4.06,4.64,3.97,3.7
WS50M,2021,46.25,-123.25,4.34,4.61,3.88,3.32,3.48,3.38,3.44,3.44,3.67,4.32,4.81,4.19,3.9
WS50M,2021,46.25,-123.75,5.13,5.35,4.64,3.72,4.05,3.85,4.0,3.82,4.13,5.14,5.76,5.06,4.55
WS50M,2021,46.25,-124.25,7.19,7.39,6.68,4.87,5.58,5.3,5.63,5.2,5.58,7.35,8.1,7.41,6.35
WS50M,2021,46.25,-124.75,8.51,8.71,8.17,5.7,6.6,6.4,6.81,6.45,6.62,8.79,9.57,8.69,7.58
WS50M,2021,46.75,-116.75,4.55,5.39,4.62,4.82,4.29,4.19,3.64,3.99,3.97,4.38,5.04,4.63,4.45
WS50M,2021,46.75,-117.25,5.38,6.44,5.47,5.64,5.06,4.99,4.4,4.7,4.76,5.24,6.11,5.63,5.31
WS50M,2021,46.75,-117.75,5.99,7.11,6.03,6.2,5.53,5.5,4.9,5.12,5.31,5.9,6.88,6.37,5.89
WS50M,2021,46.75,-118.25,6.09,7.26,6.07,6.33,5.58,5.55,4.95,5.06,5.39,6.11,6.96,6.56,5.98
WS50M,2021,46.75,-118.75,5.55,7.04,5.61,6.16,5.39,5.23,4.51,4.62,5.04,5.84,6.25,6.28,5.61
WS50M,2021,46.75,-119.25,5.17,6.77,5.23,5.91,5.42,5.11,4.49,4.59,4.81,5.58,5.72,6.12,5.4
WS50M,2021,46.75,-119.75,4.67,6.35,4.9,5.64,5.32,4.98,4.62,4.59,4.57,5.25,5.21,5.56,5.13
WS50M,2021,46.75,-120.25,4.08,5.94,4.61,5.32,5.12,4.8,4.72,4.55,4.32,4.9,4.83,4.91,4.83
WS50M,2021,46.75,-120.75,3.6,5.56,4.28,4.86,4.73,4.43,4.51,4.31,4.01,4.52,4.6,4.38,4.47
WS50M,2021,46.75,-121.25,3.55,5.14,3.71,4.11,3.91,3.67,3.61,3.61,3.57,3.94,4.54,4.07,3.94
WS50M,2021,46.75,-121.75,3.82,4.74,3.54,3.41,3.33,3.14,2.91,3.12,3.31,3.8,4.65,4.01,3.64
WS50M,2021,46.75,-122.25,4.11,4.53,3.55,3.17,3.14,3.01,2.65,3.0,3.32,3.94,4.79,4.05,3.6
WS50M,2021,46.75,-122.75,4.2,4.44,3.6,3.14,3.11,3.09,2.7,3.05,3.4,4.05,4.76,4.05,3.63
WS50M,2021,46.75,-123.25,4.25,4.57,3.79,3.25,3.28,3.3,3.06,3.25,3.56,4.2,4.76,4.15,3.78
WS50M,2021,46.75,-123.75,4.82,5.21,4.45,3.57,3.91,3.72,3.88,3.75,4.0,4.84,5.42,4.79,4.36
WS50M,2021,46.75,-124.25,6.74,7.17,6.38,4.57,5.34,5.0,5.39,5.08,5.3,6.86,7.6,6.92,6.02
WS50M,2021,46.75,-124.75,8.3,8.71,8.07,5.5,6.42,6.17,6.59,6.4,6.44,8.46,9.31,8.4,7.39
WS50M,2021,47.25,-116.75,4.31,4.89,4.45,4.72,4.13,3.98,3.73,4.0,4.02,4.47,4.96,4.51,4.34
WS50M,2021,47.25,-117.25,5.02,5.91,5.18,5.48,4.89,4.72,4.26,4.52,4.6,5.25,5.82,5.38,5.08
WS50M,2021,47.25,-117.75,5.58,6.74,5.7,6.08,5.43,5.25,4.58,4.84,5.03,5.86,6.45,6.08,5.62
WS50M,2021,47.25,-118.25,5.83,7.11,5.85,6.36,5.61,5.39,4.64,4.87,5.18,6.11,6.6,6.38,5.81
WS50M,2021,47.25,-118.75,5.75,7.04,5.62,6.39,5.62,5.27,4.5,4.7,5.07,5.98,6.22,6.33,5.7
WS50M,2021,47.25,-119.25,5.28,6.61,5.14,5.96,5.54,5.12,4.57,4.73,4.79,5.56,5.54,5.97,5.39
WS50M,2021,47.25,-119.75,4.48,5.84,4.58,5.41,5.18,4.8,4.64,4.6,4.37,4.88,4.78,5.05,4.88
WS50M,2021,47.25,-120.25,3.65,5.21,4.12,4.85,4.76,4.42,4.64,4.43,3.96,4.27,4.24,4.18,4.39
WS50M,2021,47.25,-120.75,3.2,4.97,3.83,4.32,4.31,4.02,4.34,4.12,3.65,3.87,4.14,3.74,4.03
WS50M,2021,47.25,-121.25,3.61,5.14,3.59,3.74,3.67,3.45,3.38,3.45,3.42,3.68,4.59,3.93,3.79
WS50M,2021,47.25,-121.75,4.01,4.73,3.53,3.21,3.06,2.87,2.39,2.77,3.13,3.76,4.84,3.92,3.51
WS50M,2021,47.25,-122.25,4.18,4.53,3.56,3.15,3.03,2.93,2.2,2.83,3.25,4.0,4.95,4.15,3.55
WS50M,2021,47.25,-122.75,4.01,4.33,3.5,3.19,3.04,3.06,2.26,2.93,3.34,4.0,4.69,4.12,3.53
WS50M,2021,47.25,-123.25,3.82,4.26,3.49,3.16,3.02,3.07,2.49,2.92,3.31,3.88,4.36,3.92,3.47
WS50M,2021,47.25,-123.75,4.31,4.75,4.0,3.12,3.39,3.2,3.29,3.21,3.46,4.3,4.87,4.21,3.84
WS50M,2021,47.25,-124.25,6.26,6.64,5.91,4.06,4.77,4.48,4.78,4.57,4.74,6.21,6.95,6.11,5.45
WS50M,2021,47.25,-124.75,8.03,8.43,7.81,5.15,5.98,5.78,6.06,6.01,6.01,7.93,8.89,7.8,6.99
WS50M,2021,47.75,-116.75,3.86,4.53,4.01,4.43,3.86,3.71,3.56,3.72,3.74,4.23,4.47,4.14,4.02
WS50M,2021,47.75,-117.25,4.22,5.08,4.36,4.8,4.28,4.1,3.83,3.93,3.97,4.64,4.82,4.58,4.38
WS50M,2021,47.75,-117.75,4.6,5.57,4.67,5.16,4.62,4.41,4.01,4.1,4.18,4.97,5.1,5.0,4.69
WS50M,2021,47.75,-118.25,4.94,5.91,4.86,5.46,4.85,4.59,4.1,4.24,4.34,5.17,5.27,5.29,4.91
WS50M,2021,47.75,-118.75,5.26,6.15,4.93,5.65,5.07,4.72,4.15,4.42,4.49,5.27,5.33,5.51,5.07
WS50M,2021,47.75,-119.25,4.78,5.83,4.63,5.38,5.12,4.72,4.27,4.49,4.38,5.04,4.89,5.3,4.9
WS50M,2021,47.75,-119.75,3.83,4.93,3.99,4.76,4.67,4.28,4.22,4.21,3.94,4.27,4.12,4.36,4.29
WS50M,2021,47.75,-120.25,3.06,4.31,3.45,4.09,4.1,3.76,3.99,3.85,3.47,3.56,3.66,3.54,3.73
WS50M,2021,47.75,-120.75,2.9,4.28,3.2,3.54,3.58,3.32,3.52,3.43,3.15,3.22,3.77,3.3,3.42
WS50M,2021,47.75,-121.25,3.5,4.63,3.18,3.11,3.1,2.93,2.66,2.8,2.95,3.23,4.29,3.65,3.32
WS50M,2021,47.75,-121.75,4.01,4.3,3.35,2.87,2.75,2.58,2.05,2.32,2.86,3.51,4.61,3.61,3.22
WS50M,2021,47.75,-122.25,4.12,4.22,3.48,2.89,2.87,2.68,2.02,2.47,3.01,3.84,4.75,3.9,3.35
WS50M,2021,47.75,-122.75,3.94,4.26,3.53,2.97,3.02,2.8,2.17,2.7,3.15,3.92,4.59,4.03,3.42
WS50M,2021,47.75,-123.25,3.77,4.34,3.58,2.99,3.01,2.78,2.33,2.77,3.19,3.83,4.41,3.96,3.41
WS50M,2021,47.75,-123.75,4.11,4.48,3.83,2.88,2.97,2.81,2.64,2.77,3.2,4.03,4.81,4.09,3.54
WS50M,2021,47.75,-124.25,5.66,5.72,5.23,3.59,3.89,3.78,3.59,3.64,4.16,5.42,6.23,5.31,4.68
WS50M,2021,47.75,-124.75,7.7,7.84,7.35,4.77,5.27,5.15,5.11,5.26,5.53,7.3,8.34,7.17,6.39
WS50M,2021,48.25,-116.75,3.25,3.94,3.36,3.81,3.36,3.23,3.12,3.22,3.25,3.66,3.68,3.56,3.45
WS50M,2021,48.25,-117.25,3.32,4.06,3.45,3.83,3.49,3.36,3.22,3.26,3.24,3.73,3.63,3.61,3.51
WS50M,2021,48.25,-117.75,3.43,4.19,3.57,3.95,3.63,3.5,3.31,3.35,3.28,3.77,3.62,3.71,3.6
WS50M,2021,48.25,-118.25,3.63,4.33,3.72,4.16,3.79,3.64,3.39,3.51,3.41,3.84,3.68,3.89,3.75
WS50M,2021,48.25,-118.75,4.03,4.61,3.94,4.38,4.04,3.83,3.52,3.75,3.63,4.08,3.96,4.22,3.99
WS50M,2021,48.25,-119.25,3.89,4.61,3.89,4.37,4.22,3.95,3.68,3.87,3.7,4.13,3.98,4.33,4.05
WS50M,2021,48.25,-119.75,3.26,4.09,3.49,4.02,4.01,3.69,3.65,3.71,3.43,3.61,3.54,3.72,3.68
WS50M,2021,48.25,-120.25,2.79,3.75,3.07,3.46,3.57,3.24,3.35,3.34,3.06,3.08,3.35,3.18,3.27
WS50M,2021,48.25,-120.75,2.79,3.76,2.82,2.87,3.04,2.77,2.8,2.84,2.73,2.82,3.58,3.02,2.98
WS50M,2021,48.25,-121.25,3.2,3.79,2.74,2.46,2.58,2.39,2.07,2.25,2.52,2.84,3.84,3.19,2.81
WS50M,2021,48.25,-121.75,3.68,3.66,3.08,2.6,2.5,2.32,1.84,2.06,2.64,3.21,4.19,3.32,2.92
WS50M,2021,48.25,-122.25,4.15,3.96,3.45,2.75,2.68,2.48,2.01,2.22,2.82,3.69,4.57,3.71,3.2
WS50M,2021,48.25,-122.75,4.51,4.67,3.86,2.97,3.12,2.82,2.76,2.82,3.13,4.08,4.92,4.26,3.65
WS50M,2021,48.25,-123.25,4.65,5.32,4.15,3.19,3.55,3.15,3.59,3.47,3.45,4.27,5.15,4.71,4.05
