PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,32.75,-114.25,3.67,5.09,6.24,7.58,8.32,8.26,7.36,6.76,5.84,5.17,4.16,3.23,5.98
ALLSKY_SFC_SW_DWN,2022,32.75,-114.75,3.67,5.09,6.24,7.58,8.32,8.26,7.36,6.76,5.84,5.17,4.16,3.23,5.98
ALLSKY_SFC_SW_DWN,2022,32.75,-115.25,3.56,5.02,6.21,7.52,8.25,8.25,7.51,6.71,5.77,5.14,4.13,3.21,5.94
ALLSKY_SFC_SW_DWN,2022,32.75,-115.75,3.56,5.02,6.21,7.52,8.25,8.25,7.51,6.71,5.77,5.14,4.13,3.21,5.94
ALLSKY_SFC_SW_DWN,2022,32.75,-116.25,3.53,4.9,6.0,7.39,8.15,8.43,7.63,6.79,5.7,4.95,4.03,3.11,5.89
ALLSKY_SFC_SW_DWN,2022,32.75,-116.75,3.53,4.9,6.0,7.39,8.15,8.43,7.63,6.79,5.7,4.95,4.03,3.11,5.89
ALLSKY_SFC_SW_DWN,2022,32.75,-117.25,3.28,4.78,5.69,6.82,6.07,6.82,6.2,6.42,5.52,3.91,3.78,2.92,5.18
ALLSKY_SFC_SW_DWN,2022,32.75,-117.75,3.28,4.78,5.69,6.82,6.07,6.82,6.2,6.42,5.52,3.91,3.78,2.92,5.18
ALLSKY_SFC_SW_DWN,2022,32.75,-118.25,3.23,4.8,5.53,6.8,6.06,6.57,5.55,5.87,5.36,3.76,3.78,2.87,5.01
ALLSKY_SFC_SW_DWN,2022,32.75,-118.75,3.23,4.8,5.53,6.8,6.06,6.57,5.55,5.87,5.36,3.76,3.78,2.87,5.01
ALLSKY_SFC_SW_DWN,2022,33.25,-114.25,3.64,5.03,6.15,7.57,8.44,8.38,7.39,6.66,5.84,5.05,4.0,3.13,5.94
ALLSKY_SFC_SW_DWN,2022,33.25,-114.75,3.64,5.03,6.15,7.57,8.44,8.38,7.39,6.66,5.84,5.05,4.0,3.13,5.94
ALLSKY_SFC_SW_DWN,2022,33.25,-115.25,3.57,5.0,6.21,7.57,8.39,8.44,7.49,6.75,5.75,5.01,3.97,3.03,5.93
ALLSKY_SFC_SW_DWN,2022,33.25,-115.75,3.57,5.0,6.21,7.57,8.39,8.44,7.49,6.75,5.75,5.01,3.97,3.03,5.93
ALLSKY_SFC_SW_DWN,2022,33.25,-116.25,3.44,4.81,6.05,7.46,8.21,8.41,7.57,6.75,5.69,4.93,3.86,2.93,5.85
ALLSKY_SFC_SW_DWN,2022,33.25,-116.75,3.44,4.81,6.05,7.46,8.21,8.41,7.57,6.75,5.69,4.93,3.86,2.93,5.85
ALLSKY_SFC_SW_DWN,2022,33.25,-117.25,3.34,4.82,5.89,6.97,7.2,7.88,7.58,7.11,5.81,4.47,3.82,2.77,5.64
ALLSKY_SFC_SW_DWN,2022,33.25,-117.75,3.34,4.82,5.89,6.97,7.2,7.88,7.58,7.11,5.81,4.47,3.82,2.77,5.64
ALLSKY_SFC_SW_DWN,2022,33.25,-118.25,3.19,4.8,5.71,7.08,6.79,7.05,6.71,6.63,5.79,4.04,3.76,2.73,5.36
ALLSKY_SFC_SW_DWN,2022,33.25,-118.75,3.19,4.8,5.71,7.08,6.79,7.05,6.71,6.63,5.79,4.04,3.76,2.73,5.36
ALLSKY_SFC_SW_DWN,2022,33.75,-114.25,3.64,5.03,6.15,7.57,8.44,8.38,7.39,6.66,5.84,5.05,4.0,3.13,5.94
ALLSKY_SFC_SW_DWN,2022,33.75,-114.75,3.64,5.03,6.15,7.57,8.44,8.38,7.39,6.66,5.84,5.05,4.0,3.13,5.94
ALLSKY_SFC_SW_DWN,2022,33.75,-115.25,3.57,5.0,6.21,7.57,8.39,8.44,7.49,6.75,5.75,5.01,3.97,3.03,5.93
ALLSKY_SFC_SW_DWN,2022,33.75,-115.75,3.57,5.0,6.21,7.57,8.39,8.44,7.49,6.75,5.75,5.01,3.97,3.03,5.93
ALLSKY_SFC_SW_DWN,2022,33.75,-116.25,3.44,4.81,6.05,7.46,8.21,8.41,7.57,6.75,5.69,4.93,3.86,2.93,5.85
ALLSKY_SFC_SW_DWN,2022,33.75,-116.75,3.44,4.81,6.05,7.46,8.21,8.41,7.57,6.75,5.69,4.93,3.86,2.93,5.85
ALLSKY_SFC_SW_DWN,2022,33.75,-117.25,3.34,4.82,5.89,6.97,7.2,7.88,7.58,7.11,5.81,4.47,3.82,2.77,5.64
ALLSKY_SFC_SW_DWN,2022,33.75,-117.75,3.34,4.82,5.89,6.97,7.2,7.88,7.58,7.11,5.81,4.47,3.82,2.77,5.64
ALLSKY_SFC_SW_DWN,2022,33.75,-118.25,3.19,4.8,5.71,7.08,6.79,7.05,6.71,6.63,5.79,4.04,3.76,2.73,5.36
ALLSKY_SFC_SW_DWN,2022,33.75,-118.75,3.19,4.8,5.71,7.08,6.79,7.05,6.71,6.63,5.79,4.04,3.76,2.73,5.36
ALLSKY_SFC_SW_DWN,2022,34.25,-114.25,3.58,4.96,6.02,7.54,8.47,8.43,7.39,6.68,5.91,5.02,3.83,2.9,5.9
ALLSKY_SFC_SW_DWN,2022,34.25,-114.75,3.58,4.96,6.02,7.54,8.47,8.43,7.39,6.68,5.91,5.02,3.83,2.9,5.9
ALLSKY_SFC_SW_DWN,2022,34.25,-115.25,3.48,4.91,6.05,7.47,8.32,8.34,7.39,6.6,5.89,5.04,3.78,2.89,5.85
ALLSKY_SFC_SW_DWN,2022,34.25,-115.75,3.48,4.91,6.05,7.47,8.32,8.34,7.39,6.6,5.89,5.04,3.78,2.89,5.85
ALLSKY_SFC_SW_DWN,2022,34.25,-116.25,3.5,4.94,6.1,7.58,8.42,8.49,7.58,6.72,6.03,5.13,3.86,2.92,5.94
ALLSKY_SFC_SW_DWN,2022,34.25,-116.75,3.5,4.94,6.1,7.58,8.42,8.49,7.58,6.72,6.03,5.13,3.86,2.92,5.94
ALLSKY_SFC_SW_DWN,2022,34.25,-117.25,3.42,4.85,5.87,7.34,8.11,8.39,7.9,7.12,6.05,5.02,3.79,2.77,5.89
ALLSKY_SFC_SW_DWN,2022,34.25,-117.75,3.42,4.85,5.87,7.34,8.11,8.39,7.9,7.12,6.05,5.02,3.79,2.77,5.89
ALLSKY_SFC_SW_DWN,2022,34.25,-118.25,3.35,4.72,5.74,7.17,7.98,8.38,8.06,7.3,5.98,4.9,3.74,2.6,5.83
