PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,42.25,-116.75,2.28,3.51,4.15,5.29,6.08,7.35,8.03,6.41,5.36,4.24,2.13,1.44,4.7
ALLSKY_SFC_SW_DWN,2022,42.25,-117.25,2.18,3.15,4.13,5.5,6.23,7.33,8.11,6.54,5.33,4.24,2.26,1.26,4.7
ALLSKY_SFC_SW_DWN,2022,42.25,-117.75,2.18,3.15,4.13,5.5,6.23,7.33,8.11,6.54,5.33,4.24,2.26,1.26,4.7
ALLSKY_SFC_SW_DWN,2022,42.25,-118.25,2.23,3.23,4.1,5.33,6.21,7.27,8.05,6.56,5.25,4.19,2.23,1.49,4.69
ALLSKY_SFC_SW_DWN,2022,42.25,-118.75,2.23,3.23,4.1,5.33,6.21,7.27,8.05,6.56,5.25,4.19,2.23,1.49,4.69
ALLSKY_SFC_SW_DWN,2022,42.25,-119.25,2.32,3.32,4.24,5.59,6.5,7.58,8.15,6.64,5.44,4.26,2.04,1.34,4.79
ALLSKY_SFC_SW_DWN,2022,42.25,-119.75,2.32,3.32,4.24,5.59,6.5,7.58,8.15,6.64,5.44,4.26,2.04,1.34,4.79
ALLSKY_SFC_SW_DWN,2022,42.25,-120.25,2.36,3.46,4.34,5.49,6.45,7.54,7.98,6.65,5.35,4.21,2.11,1.5,4.79
ALLSKY_SFC_SW_DWN,2022,42.25,-120.75,2.36,3.46,4.34,5.49,6.45,7.54,7.98,6.65,5.35,4.21,2.11,1.5,4.79
ALLSKY_SFC_SW_DWN,2022,42.25,-121.25,2.38,3.61,4.43,5.53,6.58,7.55,7.9,6.88,5.39,4.24,2.28,1.48,4.86
ALLSKY_SFC_SW_DWN,2022,42.25,-121.75,2.38,3.61,4.43,5.53,6.58,7.55,7.9,6.88,5.39,4.24,2.28,1.48,4.86
ALLSKY_SFC_SW_DWN,2022,42.25,-122.25,2.28,3.34,4.19,5.06,6.14,7.09,7.88,7.02,5.39,4.09,2.08,1.37,4.67
ALLSKY_SFC_SW_DWN,2022,42.25,-122.75,2.28,3.34,4.19,5.06,6.14,7.09,7.88,7.02,5.39,4.09,2.08,1.37,4.67
ALLSKY_SFC_SW_DWN,2022,42.25,-123.25,2.21,3.24,4.12,4.94,6.01,6.82,7.67,7.13,5.27,3.9,2.0,1.31,4.56
ALLSKY_SFC_SW_DWN,2022,42.25,-123.75,2.21,3.24,4.12,4.94,6.01,6.82,7.67,7.13,5.27,3.9,2.0,1.31,4.56
ALLSKY_SFC_SW_DWN,2022,42.25,-124.25,2.08,3.16,3.98,5.13,5.87,6.56,7.01,6.24,4.77,3.32,2.15,1.36,4.31
ALLSKY_SFC_SW_DWN,2022,42.25,-124.75,2.08,3.16,3.98,5.13,5.87,6.56,7.01,6.24,4.77,3.32,2.15,1.36,4.31
ALLSKY_SFC_SW_DWN,2022,42.75,-116.75,2.28,3.51,4.15,5.29,6.08,7.35,8.03,6.41,5.36,4.24,2.13,1.44,4.7
