PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2022,42.25,-116.75,6.15,6.13,6.59,6.93,6.37,5.51,4.96,4.19,4.84,4.53,6.09,7.11,5.78
WS50M,2022,42.25,-117.25,6.01,5.8,6.36,6.79,6.21,5.4,4.86,4.1,4.68,4.38,5.98,6.95,5.62
WS50M,2022,42.25,-117.75,5.72,5.35,6.01,6.56,6.01,5.18,4.69,3.86,4.41,4.04,5.72,6.66,5.35
WS50M,2022,42.25,-118.25,5.48,4.99,5.7,6.37,5.87,5.0,4.57,3.62,4.14,3.64,5.46,6.34,5.1
WS50M,2022,42.25,-118.75,5.61,4.99,5.6,6.35,5.93,5.06,4.65,3.66,4.11,3.5,5.43,6.12,5.08
WS50M,2022,42.25,-119.25,6.61,5.59,6.21,6.99,6.46,5.66,5.13,4.13,4.65,4.0,6.25,7.04,5.73
WS50M,2022,42.25,-119.75,6.43,5.38,6.0,6.72,6.27,5.59,4.89,4.03,4.52,3.95,6.03,6.79,5.55
WS50M,2022,42.25,-120.25,5.95,5.07,5.61,6.25,5.91,5.31,4.56,3.86,4.24,3.83,5.56,6.21,5.2
WS50M,2022,42.25,-120.75,5.68,5.0,5.32,5.93,5.68,5.11,4.4,3.84,4.09,3.88,5.29,5.78,5.0
WS50M,2022,42.25,-121.25,5.74,5.06,5.08,5.77,5.6,5.0,4.36,3.9,4.1,4.09,5.33,5.64,4.97
WS50M,2022,42.25,-121.75,5.02,4.46,4.38,5.03,4.91,4.42,3.82,3.59,3.71,3.66,4.68,4.92,4.39
WS50M,2022,42.25,-122.25,4.46,3.89,3.64,4.22,4.16,3.79,3.28,3.18,3.26,3.27,4.1,4.29,3.8
WS50M,2022,42.25,-122.75,4.04,3.45,3.12,3.61,3.62,3.33,2.88,2.84,2.86,2.89,3.67,3.88,3.35
WS50M,2022,42.25,-123.25,3.8,3.3,2.99,3.37,3.45,3.2,2.71,2.72,2.7,2.63,3.43,3.77,3.17
WS50M,2022,42.25,-123.75,3.82,3.69,3.28,3.62,3.76,3.48,2.8,2.92,2.95,2.8,3.41,3.95,3.37
WS50M,2022,42.25,-124.25,4.9,5.53,4.61,5.01,5.29,5.04,4.55,4.36,4.39,4.1,4.33,5.74,4.82
