PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2022,32.75,-119.25,5.5,6.43,8.14,8.6,7.59,6.48,6.75,7.19,6.68,5.24,6.35,5.17,6.67
WS50M,2022,32.75,-119.75,6.01,6.85,9.02,9.58,8.86,7.76,7.72,8.07,7.37,6.36,7.13,5.75,7.54
WS50M,2022,32.75,-120.25,6.36,7.22,9.69,10.31,9.86,8.87,8.39,8.56,7.86,7.29,7.76,6.23,8.2
WS50M,2022,32.75,-120.75,6.53,7.52,10.11,10.76,10.55,9.65,8.72,8.69,8.09,7.88,8.16,6.54,8.6
WS50M,2022,32.75,-121.25,6.52,7.76,10.34,10.95,10.98,10.14,8.9,8.66,8.19,8.22,8.33,6.68,8.81
WS50M,2022,32.75,-121.75,6.46,7.97,10.38,10.94,11.18,10.33,9.03,8.66,8.3,8.39,8.34,6.74,8.9
WS50M,2022,32.75,-122.25,6.34,8.08,10.25,10.85,11.12,10.28,8.95,8.48,8.25,8.33,8.22,6.67,8.82
WS50M,2022,32.75,-122.75,6.18,8.1,10.0,10.71,10.99,10.09,8.74,8.24,8.12,8.14,8.01,6.53,8.65
WS50M,2022,32.75,-123.25,5.99,8.05,9.67,10.49,10.86,9.83,8.46,7.99,7.97,7.89,7.75,6.34,8.44
WS50M,2022,32.75,-123.75,5.73,7.92,9.23,10.19,10.69,9.52,8.14,7.75,7.79,7.59,7.46,6.09,8.17
WS50M,2022,32.75,-124.25,5.46,7.77,8.81,9.84,10.38,9.19,7.86,7.57,7.61,7.31,7.2,5.91,7.9
WS50M,2022,32.75,-124.75,5.23,7.61,8.46,9.52,10.07,8.87,7.59,7.38,7.44,7.04,6.97,5.8,7.66
WS50M,2022,33.25,-119.25,5.15,6.1,7.59,8.13,7.05,5.94,6.05,6.55,6.2,4.65,5.97,4.87,6.18
WS50M,2022,33.25,-119.75,5.85,6.68,8.83,9.46,8.64,7.53,7.43,7.87,7.25,6.0,6.91,5.54,7.33
WS50M,2022,33.25,-120.25,6.35,7.2,9.72,10.4,9.84,8.83,8.39,8.63,7.92,7.15,7.67,6.15,8.19
WS50M,2022,33.25,-120.75,6.6,7.62,10.21,10.87,10.59,9.68,8.86,8.81,8.17,7.85,8.16,6.58,8.67
WS50M,2022,33.25,-121.25,6.66,7.91,10.43,11.04,11.03,10.21,9.06,8.8,8.27,8.22,8.38,6.81,8.91
WS50M,2022,33.25,-121.75,6.62,8.12,10.5,11.03,11.22,10.44,9.15,8.84,8.42,8.47,8.43,6.91,9.02
WS50M,2022,33.25,-122.25,6.48,8.24,10.38,10.98,11.19,10.43,9.03,8.65,8.4,8.46,8.33,6.87,8.95
WS50M,2022,33.25,-122.75,6.28,8.26,10.14,10.86,11.14,10.29,8.82,8.39,8.28,8.31,8.13,6.72,8.8
WS50M,2022,33.25,-123.25,6.06,8.22,9.8,10.66,11.11,10.08,8.59,8.14,8.12,8.09,7.89,6.52,8.6
WS50M,2022,33.25,-123.75,5.84,8.11,9.39,10.36,10.98,9.82,8.36,7.91,7.93,7.82,7.63,6.31,8.37
