PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2022,45.75,-116.75,5.25,4.61,3.96,4.08,3.58,3.25,2.88,2.96,2.92,3.23,4.22,5.25,3.84
WS50M,2022,45.75,-117.25,5.55,4.98,4.31,4.48,3.91,3.55,3.09,3.27,3.34,3.54,4.57,5.53,4.17
WS50M,2022,45.75,-117.75,5.9,5.38,4.57,4.95,4.22,3.92,3.37,3.64,3.81,3.99,4.95,5.81,4.54
WS50M,2022,45.75,-118.25,6.4,5.86,4.8,5.46,4.59,4.35,3.76,4.04,4.27,4.49,5.36,6.16,4.95
WS50M,2022,45.75,-118.75,6.72,6.38,5.23,6.0,5.18,4.89,4.32,4.5,4.75,4.89,5.67,6.33,5.4
WS50M,2022,45.75,-119.25,5.84,6.3,5.43,5.91,5.53,5.25,4.73,4.84,5.02,4.9,5.69,6.04,5.45
WS50M,2022,45.75,-119.75,5.79,6.5,5.74,6.07,5.92,5.69,5.18,5.27,5.36,5.11,6.03,6.09,5.72
WS50M,2022,45.75,-120.25,5.51,6.35,5.68,5.97,5.94,5.77,5.26,5.32,5.37,5.03,6.09,5.93,5.68
WS50M,2022,45.75,-120.75,4.74,5.66,5.07,5.4,5.41,5.3,4.81,4.83,4.89,4.51,5.61,5.34,5.12
WS50M,2022,45.75,-121.25,4.0,4.71,4.05,4.45,4.39,4.34,3.98,3.94,4.03,3.75,4.66,4.45,4.22
WS50M,2022,45.75,-121.75,4.31,4.21,3.61,4.02,3.79,3.75,3.26,3.3,3.54,3.59,4.58,4.47,3.87
WS50M,2022,45.75,-122.25,4.59,3.9,3.51,3.91,3.55,3.52,2.95,3.0,3.31,3.47,4.64,4.65,3.75
WS50M,2022,45.75,-122.75,4.53,3.74,3.51,3.94,3.54,3.55,3.0,3.02,3.3,3.45,4.56,4.69,3.73
WS50M,2022,45.75,-123.25,4.46,3.84,3.63,4.09,3.75,3.8,3.29,3.27,3.45,3.63,4.51,4.75,3.87
WS50M,2022,45.75,-123.75,5.29,4.46,4.18,4.56,4.28,4.34,3.64,3.52,3.7,4.08,5.09,5.51,4.39
WS50M,2022,45.75,-124.25,7.01,6.07,5.72,5.88,5.68,5.81,5.01,4.66,5.08,5.69,6.64,7.4,5.89
WS50M,2022,45.75,-124.75,7.93,7.16,6.74,6.71,6.5,6.65,5.89,5.4,5.98,6.96,7.54,8.54,6.83
WS50M,2022,46.25,-116.75,5.05,4.82,4.26,4.55,3.93,3.77,3.21,3.37,3.31,3.56,4.43,5.05,4.1
WS50M,2022,46.25,-117.25,5.48,5.36,4.79,5.11,4.5,4.27,3.63,3.88,3.92,4.06,4.95,5.52,4.62
WS50M,2022,46.25,-117.75,5.86,5.74,5.19,5.6,4.95,4.72,4.03,4.33,4.5,4.59,5.4,5.84,5.06
WS50M,2022,46.25,-118.25,5.95,5.85,5.32,5.88,5.19,5.0,4.25,4.55,4.8,4.88,5.58,5.83,5.25
WS50M,2022,46.25,-118.75,5.34,5.67,5.28,5.87,5.32,5.09,4.12,4.54,4.7,4.66,5.29,5.32,5.09
WS50M,2022,46.25,-119.25,4.47,5.43,5.2,5.59,5.36,5.21,4.25,4.64,4.65,4.5,5.37,5.21,4.98
