-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2021,32.75,-114.25,5.26,5.69,5.74,5.49,5.32,5.07,4.9,4.81,4.21,4.71,4.57,4.61,5.03
WS50M,2021,32.75,-114.75,5.21,5.47,5.44,5.22,4.9,4.68,4.6,4.4,3.9,4.63,4.4,4.39,4.76
WS50M,2021,32.75,-115.25,4.84,5.38,5.52,5.67,5.16,4.74,4.32,4.28,4.05,4.76,4.4,4.2,4.77
WS50M,2021,32.75,-115.75,4.39,5.42,6.05,6.65,6.01,5.25,4.23,4.59,4.66,5.06,4.46,4.29,5.08
WS50M,2021,32.75,-116.25,4.41,5.12,6.5,6.94,6.41,5.69,4.43,5.07,5.11,5.13,4.22,4.89,5.33
WS50M,2021,32.75,-116.75,4.97,4.3,5.25,4.77,4.32,3.9,3.3,3.61,3.54,4.1,3.62,4.58,4.19
WS50M,2021,32.75,-117.25,4.61,3.97,4.76,3.96,3.41,3.32,2.88,3.16,3.05,3.72,3.13,4.4,3.7
WS50M,2021,32.75,-117.75,4.62,4.48,5.05,4.36,3.41,3.45,3.02,3.34,3.23,4.01,3.16,4.59,3.89
WS50M,2021,32.75,-118.25,5.42,5.7,5.96,5.68,4.16,4.05,3.66,3.9,3.83,4.88,3.75,5.15,4.67
WS50M,2021,32.75,-118.75,6.53,7.01,7.09,7.55,5.68,5.12,4.82,4.77,4.75,6.03,4.59,5.79,5.8
WS50M,2021,33.25,-114.25,5.44,5.93,5.92,5.69,5.5,5.09,4.74,4.61,4.17,4.89,4.64,4.75,5.11
WS50M,2021,33.25,-114.75,5.71,5.96,6.0,5.87,5.47,5.02,4.66,4.43,4.24,5.08,4.76,4.91,5.17
WS50M,2021,33.25,-115.25,5.44,5.71,5.87,6.0,5.44,4.99,4.37,4.21,4.27,5.04,4.77,4.67,5.06
WS50M,2021,33.25,-115.75,4.63,5.21,5.65,6.09,5.54,5.09,4.09,4.21,4.38,4.79,4.51,4.18,4.86
WS50M,2021,33.25,-116.25,4.0,4.82,5.9,6.46,6.02,5.47,4.18,4.67,4.75,4.7,4.12,4.26,4.95
WS50M,2021,33.25,-116.75,4.24,3.91,4.95,4.66,4.32,3.83,3.14,3.43,3.43,3.84,3.4,4.15,3.94
WS50M,2021,33.25,-117.25,4.17,3.67,4.41,3.82,3.47,3.13,2.78,2.98,2.91,3.48,3.01,4.11,3.49
WS50M,2021,33.25,-117.75,4.33,4.1,4.49,3.81,3.24,3.07,2.78,2.97,2.9,3.6,2.98,4.27,3.54
WS50M,2021,33.25,-118.25,4.95,5.07,5.19,4.66,3.62,3.5,3.12,3.3,3.31,4.19,3.34,4.7,4.08
WS50M,2021,33.25,-118.75,6.01,6.29,6.36,6.47,4.84,4.41,4.06,4.09,4.18,5.29,4.05,5.41,5.12
WS50M,2021,33.75,-114.25,5.25,5.75,5.67,5.56,5.4,5.11,4.75,4.62,4.16,4.91,4.49,4.72,5.03
WS50M,2021,33.75,-114.75,5.68,6.01,5.83,5.82,5.38,5.14,4.63,4.51,4.32,5.07,4.72,4.96,5.17
WS50M,2021,33.75,-115.25,5.6,5.86,5.67,5.72,5.11,5.03,4.26,4.2,4.23,4.94,4.84,4.8,5.02
WS50M,2021,33.75,-115.75,4.94,5.31,5.29,5.38,4.84,4.85,3.85,3.9,4.0,4.57,4.63,4.26,4.64
WS50M,2021,33.75,-116.25,4.32,5.03,5.43,5.73,5.23,4.87,3.7,3.93,4.0,4.38,4.16,4.08,4.57
WS50M,2021,33.75,-116.75,4.06,3.99,4.62,4.31,3.97,3.55,2.87,3.07,3.12,3.6,3.41,3.88,3.7
WS50M,2021,33.75,-117.25,4.32,3.84,4.21,3.69,3.43,3.02,2.72,2.84,2.79,3.42,3.24,3.93,3.45
WS50M,2021,33.75,-117.75,4.72,4.2,4.16,3.53,3.2,2.9,2.71,2.78,2.71,3.51,3.31,4.08,3.48
WS50M,2021,33.75,-118.25,5.17,4.81,4.46,3.81,3.23,3.04,2.72,2.81,2.82,3.77,3.52,4.32,3.7
WS50M,2021,33.75,-118.75,5.87,5.55,5.15,4.88,3.83,3.52,3.07,3.19,3.27,4.34,3.98,4.83,4.29
WS50M,2021,34.25,-114.25,5.52,5.79,5.48,5.57,5.1,4.95,4.51,4.6,4.06,5.0,4.76,4.88,5.02
WS50M,2021,34.25,-114.75,5.93,6.12,5.63,5.87,5.14,5.11,4.37,4.47,4.18,5.06,4.96,5.07,5.15
WS50M,2021,34.25,-115.25,5.72,6.05,5.53,5.81,5.08,5.22,4.14,4.26,4.18,4.9,4.96,4.87,5.05
WS50M,2021,34.25,-115.75,5.05,5.72,5.4,5.59,5.15,5.29,4.05,4.14,4.15,4.64,4.7,4.41,4.85
WS50M,2021,34.25,-116.25,4.92,5.96,6.03,6.26,5.87,5.49,4.17,4.32,4.42,4.81,4.47,4.63,5.11
WS50M,2021,34.25,-116.75,4.78,5.14,5.52,5.38,5.09,4.63,3.7,3.96,4.06,4.34,4.07,4.51,4.6
WS50M,2021,34.25,-117.25,5.02,4.79,4.97,4.66,4.38,3.98,3.48,3.7,3.72,4.09,3.98,4.44,4.26
WS50M,2021,34.25,-117.75,5.47,4.92,4.6,4.22,3.86,3.61,3.32,3.45,3.42,4.02,4.11,4.43,4.12
WS50M,2021,34.25,-118.25,5.92,5.35,4.49,4.12,3.61,3.49,3.1,3.17,3.19,4.06,4.35,4.46,4.1
WS50M,2021,34.25,-118.75,6.12,5.76,4.52,4.31,3.62,3.43,2.77,2.87,2.96,4.15,4.5,4.46,4.11
WS50M,2021,34.75,-114.25,6.06,6.09,5.53,5.69,5.08,5.0,4.43,4.87,4.16,5.22,5.24,5.35,5.22
WS50M,2021,34.75,-114.75,6.54,6.61,5.87,6.24,5.41,5.32,4.39,4.73,4.33,5.34,5.51,5.59,5.48
WS50M,2021,34.75,-115.25,6.28,6.56,5.81,6.23,5.45,5.41,4.18,4.4,4.3,5.17,5.34,5.32,5.36
WS50M,2021,34.75,-115.75,5.36,6.01,5.51,5.77,5.36,5.29,4.11,4.17,4.23,4.71,4.7,4.63,4.98
WS50M,2021,34.75,-116.25,4.87,6.02,6.12,6.39,6.18,5.63,4.41,4.5,4.68,4.7,4.25,4.64,5.2
WS50M,2021,34.75,-116.75,5.1,5.96,6.45,6.58,6.5,5.88,4.79,5.16,5.31,5.01,4.57,5.1,5.53
WS50M,2021,34.75,-117.25,5.36,5.71,6.14,6.2,6.12,5.63,4.94,5.29,5.29,4.96,4.68,5.22,5.46
WS50M,2021,34.75,-117.75,5.73,5.75,5.69,5.76,5.58,5.24,4.76,5.0,4.94,4.85,4.84,5.17,5.27
WS50M,2021,34.75,-118.25,5.95,6.0,5.27,5.36,5.05,4.79,4.16,4.31,4.36,4.7,4.89,4.92,4.97
WS50M,2021,34.75,-118.75,5.47,5.83,4.69,4.7,4.32,4.04,3.08,3.17,3.44,4.27,4.27,4.31,4.29
WS50M,2021,35.25,-114.25,5.67,5.85,5.52,5.57,5.19,5.14,4.59,5.26,4.37,5.11,4.97,5.44,5.22
WS50M,2021,35.25,-114.75,6.11,6.48,5.96,6.26,5.7,5.5,4.64,5.17,4.62,5.29,5.25,5.62,5.54
WS50M,2021,35.25,-115.25,6.05,6.41,5.99,6.33,5.77,5.52,4.42,4.79,4.57,5.25,5.19,5.55,5.48
WS50M,2021,35.25,-115.75,5.33,5.65,5.58,5.69,5.43,5.19,4.22,4.4,4.32,4.79,4.56,5.02,5.01
WS50M,2021,35.25,-116.25,4.54,5.38,5.66,5.75,5.79,5.27,4.41,4.48,4.48,4.34,3.8,4.5,4.86
WS50M,2021,35.25,-116.75,4.88,5.75,6.4,6.53,6.62,6.14,5.14,5.51,5.5,4.96,4.46,5.12,5.58
WS50M,2021,35.25,-117.25,5.22,5.66,6.39,6.53,6.6,6.24,5.43,5.8,5.69,5.07,4.75,5.35,5.73
WS50M,2021,35.25,-117.75,5.39,5.69,6.12,6.37,6.39,6.06,5.31,5.64,5.47,5.03,4.89,5.28,5.64
WS50M,2021,35.25,-118.25,5.22,5.66,5.62,5.9,5.94,5.54,4.71,4.98,4.88,4.78,4.67,4.91,5.23
WS50M,2021,35.25,-118.75,4.53,4.65,4.44,4.27,4.43,4.11,3.37,3.38,3.48,3.86,3.47,4.1,4.0
WS50M,2021,35.75,-114.25,4.65,5.09,5.26,5.28,5.12,5.11,4.51,5.27,4.37,4.63,4.21,4.93,4.87
