PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2022,32.75,-114.25,5.35,6.35,5.92,5.71,5.29,4.79,4.87,3.86,4.36,4.21,5.54,4.03,5.01
WS50M,2022,32.75,-114.75,5.23,6.19,5.54,5.46,4.9,4.47,4.47,3.91,4.42,4.12,5.5,3.96,4.84
WS50M,2022,32.75,-115.25,4.93,5.93,5.46,5.7,5.2,4.63,4.46,3.84,4.47,4.08,5.27,3.88,4.81
WS50M,2022,32.75,-115.75,4.55,5.7,5.74,6.4,6.09,5.25,4.82,3.77,4.52,4.05,5.03,3.9,4.98
WS50M,2022,32.75,-116.25,4.3,5.55,5.75,6.75,6.57,5.64,5.04,3.86,4.68,3.85,5.11,4.2,5.1
WS50M,2022,32.75,-116.75,4.62,5.37,4.52,5.0,4.42,3.84,3.5,3.17,3.71,3.1,4.92,4.01,4.17
WS50M,2022,32.75,-117.25,4.03,4.76,4.11,4.31,3.52,3.14,2.99,3.2,3.59,2.84,4.24,3.57,3.68
WS50M,2022,32.75,-117.75,3.69,4.69,4.58,4.64,3.56,3.22,3.29,3.74,4.05,2.93,4.04,3.49,3.82
WS50M,2022,32.75,-118.25,4.07,5.31,5.74,5.8,4.45,3.94,4.25,4.68,4.89,3.38,4.61,3.94,4.58
WS50M,2022,32.75,-118.75,4.92,6.0,7.13,7.44,6.24,5.33,5.73,6.07,6.0,4.32,5.57,4.68,5.78
WS50M,2022,33.25,-114.25,5.51,6.44,6.08,5.92,5.65,5.0,4.81,3.52,4.44,4.28,5.71,4.18,5.11
WS50M,2022,33.25,-114.75,5.73,6.8,6.06,6.02,5.63,4.94,4.68,3.62,4.53,4.25,6.0,4.41,5.21
WS50M,2022,33.25,-115.25,5.56,6.64,5.84,6.0,5.58,4.9,4.55,3.57,4.48,4.09,5.78,4.21,5.09
WS50M,2022,33.25,-115.75,4.88,5.93,5.49,5.96,5.63,4.99,4.56,3.5,4.31,3.78,5.11,3.7,4.81
WS50M,2022,33.25,-116.25,4.13,5.23,5.37,6.28,6.11,5.3,4.8,3.64,4.25,3.53,4.73,3.68,4.75
WS50M,2022,33.25,-116.75,4.16,4.85,4.19,4.8,4.32,3.83,3.45,2.98,3.61,2.91,4.34,3.56,3.91
WS50M,2022,33.25,-117.25,3.88,4.48,3.85,4.11,3.47,3.16,2.9,2.96,3.32,2.67,4.02,3.35,3.51
WS50M,2022,33.25,-117.75,3.69,4.47,4.11,4.21,3.3,3.0,2.89,3.25,3.45,2.65,3.98,3.28,3.51
