-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2021,32.75,-119.25,7.34,7.94,7.59,8.7,6.9,5.95,5.55,5.18,5.28,6.66,5.29,5.99,6.52
WS50M,2021,32.75,-119.75,8.05,8.75,7.98,9.51,8.1,6.84,6.34,5.79,5.94,7.24,6.11,6.32,7.24
WS50M,2021,32.75,-120.25,8.58,9.34,8.21,9.94,9.02,7.57,6.91,6.31,6.45,7.59,6.8,6.65,7.77
WS50M,2021,32.75,-120.75,8.9,9.71,8.31,10.04,9.6,8.08,7.18,6.62,6.75,7.67,7.28,6.91,8.07
WS50M,2021,32.75,-121.25,9.04,9.92,8.35,10.01,10.0,8.44,7.32,6.81,6.97,7.55,7.57,7.09,8.24
WS50M,2021,32.75,-121.75,9.09,10.03,8.33,9.94,10.36,8.7,7.51,6.98,7.16,7.43,7.81,7.31,8.37
WS50M,2021,32.75,-122.25,9.0,9.96,8.18,9.7,10.51,8.76,7.64,7.07,7.22,7.32,7.88,7.47,8.38
WS50M,2021,32.75,-122.75,8.83,9.78,8.02,9.38,10.55,8.73,7.74,7.15,7.23,7.24,7.83,7.59,8.33
WS50M,2021,32.75,-123.25,8.61,9.55,7.88,9.02,10.52,8.65,7.82,7.23,7.23,7.21,7.71,7.66,8.25
WS50M,2021,32.75,-123.75,8.34,9.29,7.79,8.64,10.44,8.52,7.82,7.29,7.2,7.19,7.53,7.64,8.13
WS50M,2021,32.75,-124.25,8.11,9.04,7.72,8.28,10.29,8.4,7.8,7.43,7.19,7.18,7.33,7.63,8.03
WS50M,2021,32.75,-124.75,7.89,8.84,7.66,7.84,10.08,8.29,7.78,7.61,7.21,7.2,7.12,7.65,7.93
WS50M,2021,33.25,-119.25,6.87,7.35,7.2,8.17,6.38,5.49,5.09,4.8,4.94,6.23,4.8,5.69,6.08
WS50M,2021,33.25,-119.75,7.74,8.35,7.83,9.43,7.92,6.64,6.21,5.66,5.82,7.13,5.82,6.12,7.05
WS50M,2021,33.25,-120.25,8.45,9.1,8.15,10.07,9.05,7.51,6.99,6.31,6.45,7.69,6.73,6.56,7.75
WS50M,2021,33.25,-120.75,8.89,9.58,8.23,10.18,9.68,8.04,7.33,6.63,6.76,7.82,7.36,6.91,8.11
WS50M,2021,33.25,-121.25,9.06,9.9,8.27,10.15,10.07,8.38,7.43,6.75,6.96,7.68,7.69,7.16,8.28
WS50M,2021,33.25,-121.75,9.11,10.03,8.29,10.09,10.47,8.68,7.64,6.92,7.21,7.55,7.92,7.4,8.43
WS50M,2021,33.25,-122.25,9.01,10.01,8.2,9.88,10.68,8.78,7.81,7.05,7.32,7.45,8.0,7.58,8.47
WS50M,2021,33.25,-122.75,8.84,9.9,8.09,9.58,10.77,8.78,7.94,7.17,7.37,7.41,7.97,7.72,8.45
WS50M,2021,33.25,-123.25,8.65,9.74,8.0,9.24,10.78,8.73,8.02,7.28,7.38,7.42,7.9,7.81,8.4
WS50M,2021,33.25,-123.75,8.43,9.54,7.96,8.91,10.74,8.61,8.05,7.39,7.35,7.45,7.77,7.84,8.32
WS50M,2021,33.25,-124.25,8.24,9.32,7.94,8.58,10.64,8.54,8.05,7.61,7.37,7.45,7.59,7.84,8.26
WS50M,2021,33.25,-124.75,8.06,9.09,7.89,8.15,10.45,8.47,8.02,7.82,7.44,7.48,7.39,7.86,8.17
WS50M,2021,33.75,-119.25,6.13,6.29,6.06,6.59,5.19,4.48,3.86,3.88,4.06,5.14,4.36,5.01,5.08
WS50M,2021,33.75,-119.75,6.83,7.3,7.01,8.4,7.1,5.94,5.37,5.07,5.2,6.26,5.12,5.51,6.25
WS50M,2021,33.75,-120.25,7.72,8.3,7.67,9.61,8.67,7.19,6.64,6.07,6.13,7.2,6.11,6.15,7.28
WS50M,2021,33.75,-120.75,8.51,9.15,7.98,10.06,9.57,7.92,7.28,6.55,6.64,7.71,7.09,6.75,7.93
WS50M,2021,33.75,-121.25,8.93,9.75,8.11,10.12,10.02,8.27,7.43,6.61,6.88,7.72,7.66,7.15,8.21
WS50M,2021,33.75,-121.75,9.0,9.97,8.18,10.1,10.48,8.59,7.67,6.78,7.17,7.65,7.91,7.4,8.39
WS50M,2021,33.75,-122.25,8.92,10.0,8.14,9.94,10.74,8.71,7.88,6.95,7.33,7.57,7.99,7.61,8.47
WS50M,2021,33.75,-122.75,8.76,9.93,8.08,9.68,10.88,8.72,8.03,7.11,7.43,7.54,8.01,7.78,8.48
WS50M,2021,33.75,-123.25,8.59,9.82,8.04,9.39,10.95,8.7,8.14,7.26,7.49,7.57,8.0,7.91,8.48
WS50M,2021,33.75,-123.75,8.43,9.72,8.05,9.11,10.96,8.62,8.2,7.45,7.5,7.64,7.94,8.02,8.46
WS50M,2021,33.75,-124.25,8.28,9.56,8.08,8.82,10.9,8.59,8.24,7.75,7.57,7.71,7.8,8.08,8.44
WS50M,2021,33.75,-124.75,8.13,9.34,8.07,8.42,10.74,8.56,8.23,8.01,7.66,7.79,7.6,8.1,8.38
WS50M,2021,34.25,-119.25,5.44,5.47,4.75,4.86,4.02,3.66,2.89,3.01,3.23,4.28,4.2,4.18,4.16
WS50M,2021,34.25,-119.75,5.79,6.05,5.59,6.36,5.57,4.77,3.93,3.9,4.06,5.04,4.4,4.6,5.0
WS50M,2021,34.25,-120.25,6.63,7.04,6.5,7.9,7.31,6.1,5.33,5.02,5.08,6.06,5.11,5.38,6.11
WS50M,2021,34.25,-120.75,7.58,8.14,7.21,9.04,8.73,7.24,6.56,5.95,6.01,6.98,6.16,6.24,7.15
WS50M,2021,34.25,-121.25,8.43,9.19,7.71,9.76,9.74,8.02,7.21,6.32,6.65,7.5,7.23,6.93,7.88
WS50M,2021,34.25,-121.75,8.69,9.7,7.93,9.9,10.33,8.4,7.59,6.55,7.03,7.6,7.67,7.29,8.21
WS50M,2021,34.25,-122.25,8.7,9.86,8.0,9.82,10.65,8.56,7.85,6.78,7.26,7.6,7.82,7.55,8.36
WS50M,2021,34.25,-122.75,8.58,9.86,8.01,9.63,10.85,8.62,8.03,6.99,7.4,7.61,7.87,7.74,8.42
WS50M,2021,34.25,-123.25,8.45,9.82,8.02,9.42,11.0,8.63,8.18,7.23,7.52,7.67,7.91,7.91,8.47
WS50M,2021,34.25,-123.75,8.32,9.8,8.09,9.21,11.1,8.59,8.3,7.53,7.62,7.8,7.94,8.1,8.53
WS50M,2021,34.25,-124.25,8.19,9.73,8.16,8.95,11.07,8.6,8.41,7.91,7.77,7.93,7.86,8.24,8.56
WS50M,2021,34.25,-124.75,8.11,9.57,8.2,8.6,10.95,8.59,8.46,8.21,7.89,8.06,7.69,8.32,8.55
WS50M,2021,34.75,-119.25,4.7,4.94,4.27,4.21,3.95,3.7,2.87,2.87,3.14,3.98,3.65,3.98,3.85
WS50M,2021,34.75,-119.75,5.12,5.25,4.61,4.71,4.47,4.12,3.1,3.09,3.32,4.36,3.97,4.27,4.19
WS50M,2021,34.75,-120.25,5.85,5.99,5.25,5.72,5.54,4.87,3.81,3.72,3.86,5.03,4.59,4.87,4.92
WS50M,2021,34.75,-120.75,6.55,6.86,6.03,7.07,7.04,5.88,5.0,4.63,4.72,5.82,5.3,5.62,5.87
WS50M,2021,34.75,-121.25,7.44,8.1,7.04,8.91,9.02,7.47,6.58,5.75,6.02,6.84,6.33,6.47,7.16
WS50M,2021,34.75,-121.75,8.09,9.17,7.59,9.56,10.09,8.19,7.42,6.31,6.83,7.37,7.15,7.05,7.89
WS50M,2021,34.75,-122.25,8.28,9.6,7.8,9.6,10.5,8.42,7.78,6.6,7.15,7.53,7.47,7.42,8.17
WS50M,2021,34.75,-122.75,8.27,9.71,7.88,9.46,10.72,8.47,7.97,6.85,7.29,7.59,7.58,7.65,8.28
WS50M,2021,34.75,-123.25,8.2,9.74,7.97,9.33,10.96,8.5,8.17,7.19,7.44,7.72,7.65,7.84,8.38
WS50M,2021,34.75,-123.75,8.14,9.79,8.09,9.2,11.16,8.53,8.41,7.62,7.64,7.92,7.73,8.05,8.52
WS50M,2021,34.75,-124.25,8.05,9.8,8.21,9.01,11.19,8.61,8.64,8.07,7.87,8.11,7.72,8.27,8.62
WS50M,2021,34.75,-124.75,8.06,9.74,8.31,8.75,11.14,8.62,8.72,8.43,8.04,8.26,7.64,8.41,8.67
WS50M,2021,35.25,-119.25,4.04,4.2,4.16,4.12,4.43,4.14,3.44,3.43,3.52,3.76,2.94,4.03,3.85
WS50M,2021,35.25,-119.75,4.37,4.55,4.34,4.28,4.53,4.51,3.71,3.59,3.66,4.11,3.37,4.24,4.11
WS50M,2021,35.25,-120.25,5.05,5.17,4.65,4.64,4.83,4.7,3.81,3.64,3.68,4.54,4.18,4.65,4.46
WS50M,2021,35.25,-120.75,5.74,5.82,5.11,5.5,5.68,4.99,4.06,3.82,3.86,5.0,4.93,5.19,4.97
WS50M,2021,35.25,-121.25,6.19,6.61,6.07,7.48,7.68,6.52,5.47,4.89,4.97,5.82,5.34,5.79,6.07
WS50M,2021,35.25,-121.75,7.13,8.18,7.02,8.84,9.45,7.82,6.99,5.96,6.42,6.83,6.27,6.62,7.29
WS50M,2021,35.25,-122.25,7.65,9.12,7.49,9.2,10.18,8.19,7.57,6.38,6.92,7.28,6.89,7.2,7.83
WS50M,2021,35.25,-122.75,7.85,9.53,7.73,9.18,10.53,8.23,7.81,6.64,7.09,7.5,7.2,7.54,8.06
WS50M,2021,35.25,-123.25,7.89,9.62,7.89,9.14,10.83,8.3,8.08,7.03,7.26,7.69,7.32,7.74,8.22
WS50M,2021,35.25,-123.75,7.95,9.79,8.08,9.13,11.15,8.46,8.49,7.59,7.56,8.0,7.46,7.95,8.46
WS50M,2021,35.25,-124.25,7.95,9.9,8.28,9.04,11.32,8.6,8.8,8.15,7.88,8.23,7.54,8.22,8.65
WS50M,2021,35.25,-124.75,8.03,9.91,8.46,8.89,11.37,8.65,8.93,8.59,8.14,8.42,7.54,8.42,8.78
WS50M,2021,35.75,-119.25,3.57,3.5,3.68,3.73,4.36,4.22,3.8,3.68,3.46,3.44,2.6,3.66,3.65
WS50M,2021,35.75,-119.75,3.83,4.2,4.29,4.36,4.91,5.02,4.48,4.27,4.08,4.05,3.04,4.03,4.21
WS50M,2021,35.75,-120.25,4.45,4.89,4.67,4.7,5.1,5.16,4.47,4.26,4.17,4.51,3.82,4.42,4.55
WS50M,2021,35.75,-120.75,5.05,5.26,4.71,4.88,5.21,4.87,4.02,3.84,3.81,4.66,4.42,4.71,4.61
WS50M,2021,35.75,-121.25,5.13,5.44,5.02,5.82,6.21,5.39,4.34,4.07,4.07,4.89,4.48,4.91,4.98
WS50M,2021,35.75,-121.75,5.92,6.76,6.03,7.27,7.87,6.73,5.85,5.08,5.45,5.82,5.15,5.91,6.15
WS50M,2021,35.75,-122.25,6.75,8.2,6.88,8.11,9.11,7.37,6.68,5.65,6.17,6.62,6.02,6.8,7.02
WS50M,2021,35.75,-122.75,7.3,9.13,7.46,8.58,10.0,7.74,7.27,6.15,6.62,7.21,6.68,7.38,7.62
WS50M,2021,35.75,-123.25,7.55,9.52,7.81,8.86,10.65,8.06,7.84,6.77,7.01,7.62,7.02,7.65,8.02
WS50M,2021,35.75,-123.75,7.75,9.86,8.1,9.02,11.16,8.38,8.41,7.45,7.45,8.03,7.25,7.86,8.38
WS50M,2021,35.75,-124.25,7.86,10.06,8.39,9.05,11.47,8.57,8.8,8.13,7.88,8.33,7.41,8.15,8.67
WS50M,2021,35.75,-124.75,7.99,10.09,8.63,9.0,11.6,8.66,9.01,8.68,8.24,8.57,7.46,8.4,8.86
WS50M,2021,36.25,-119.25,3.4,3.14,3.16,3.16,3.8,3.72,3.31,3.08,2.96,3.19,2.56,3.5,3.25
WS50M,2021,36.25,-119.75,3.87,4.22,4.08,4.32,5.01,4.93,4.21,4.05,3.88,3.98,3.25,3.97,4.15
WS50M,2021,36.25,-120.25,4.38,5.07,4.72,5.04,5.65,5.42,4.44,4.42,4.32,4.53,3.82,4.25,4.67
WS50M,2021,36.25,-120.75,4.61,5.19,4.74,4.92,5.47,5.01,3.98,3.99,3.99,4.58,3.86,4.34,4.55
WS50M,2021,36.25,-121.25,4.34,4.75,4.41,4.66,5.23,4.66,3.7,3.62,3.55,4.37,3.63,4.29,4.27
WS50M,2021,36.25,-121.75,4.87,5.42,5.03,5.41,5.9,5.24,4.3,3.91,4.18,4.86,4.19,5.18,4.87
WS50M,2021,36.25,-122.25,5.86,7.15,6.18,6.75,7.67,6.25,5.44,4.69,5.14,5.89,5.24,6.35,6.04
