STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ESTIMATED,ec_Total C,ec_Total E,ec_perarea,GeothP,ec_Total Consumption MMBtu,ec_Total Expenditure US Dollars
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,"06",H1,G4020,,,,A,"680980770","61564427","+46.2946377","-123.4244583","100",187853.615629638050450,3071572.797099542804062,0.074,72.224,187853.615629638,3071572.79709954
"06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926","150",1152945.359465157380328,23654755.828206840902567,0.136,109.068,1152945.35946516,23654755.8282068
"41","063","01155135","41063",Wallowa,Wallowa County,"06",H1,G4020,,,,A,"8147835328","14191752","+45.5937530","-117.1855796","100",325392.304231280169915,7822968.177020410075784,0.012,70.351,325392.30423128,7822968.17702041
"41","013","01155128","41013",Crook,Crook County,"06",H1,G4020,,,,A,"7715390857","21004473","+44.1630537","-120.3715849","125",1132719.307237309403718,21996792.460465043783188,0.043,88.787,1132719.30723731,21996792.460465
"41","005","01155127","41005",Clackamas,Clackamas County,"06",H1,G4020,,,,A,"4845115802","31863504","+45.1604934","-122.1951274","125",27820451.961973000317812,494986304.347777724266052,1.672,137.654,27820451.961973,494986304.347778
"41","007","01135846","41007",Clatsop,Clatsop County,"06",H1,G4020,,,,A,"2144781264","661720213","+46.0245094","-123.7050366","100",7491259.270590067841113,90890432.863002792000771,0.782,93.468,7491259.27059007,90890432.8630028
"53","041","01531927","53041",Lewis,Lewis County,"06",H1,G4020,,,,A,"6223175362","86929744","+46.5800714","-122.3774443","100",7128869.187791547738016,106791612.223327323794365,0.331,79.933,7128869.18779155,106791612.223327
"41","035","01155134","41035",Klamath,Klamath County,"06",H1,G4020,,,,A,"15410373388","484953082","+42.6837613","-121.6461682","150",6094749.900797969661653,102306923.144852250814438,0.112,108.371,6094749.90079797,102306923.144852
"41","049","01135860","41049",Morrow,Morrow County,"06",H1,G4020,,,,A,"5259046091","44372730","+45.4254956","-119.6023111","125",3828054.979344906751066,34303415.648175247013569,0.212,93.846,3828054.97934491,34303415.6481752
"41","029","01135853","41029",Jackson,Jackson County,"06",H1,G4020,,,,A,"7208589510","46774848","+42.4116214","-122.6756106","125",13734004.550893582403660,266037377.660532444715500,0.555,104.143,13734004.5508936,266037377.660532
"41","051","01135861","41051",Multnomah,Multnomah County,"06",H1,G4020,,,,A,"1116334868","88031754","+45.5477107","-122.4173625","100",61833795.195463791489601,1125312340.301449298858643,15.047,521.400,61833795.1954638,1125312340.30145
"06","067","00277298","06067",Sacramento,Sacramento County,"06",H1,G4020,,,,A,"2500063008","75323438","+38.4501363","-121.3443291","150",69706064.082007378339767,1713461021.590643644332886,7.932,342.970,69706064.0820074,1713461021.59064
"06","083","00277306","06083",Santa Barbara,Santa Barbara County,"06",H1,G4020,,,,A,"7080858282","2729215451","+34.5366774","-120.0383645","150",38070483.981870673596859,627115972.748317956924438,1.137,139.120,38070483.9818707,627115972.748318
"06","009","01675885","06009",Calaveras,Calaveras County,"06",H1,G4020,,,,A,"2641837360","43789489","+38.1910682","-120.5541065","125",2134988.320136670023203,61935349.958304539322853,0.233,94.489,2134988.32013667,61935349.9583045
"41","001","01135845","41001",Baker,Baker County,"06",H1,G4020,,,,A,"7945996815","51832631","+44.7034268","-117.6919334","125",1946783.320411476772279,30732824.969352193176746,0.071,89.640,1946783.32041148,30732824.9693522
"06","111","00277320","06111",Ventura,Ventura County,"06",H1,G4020,,,,A,"4767585001","947376202","+34.3587477","-119.1331453","125",71247212.855924844741821,1138170242.330098390579224,3.654,197.110,71247212.8559248,1138170242.3301
