County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Butte,California,G06,commercial,2022,G0600070,elec,2128629.7886381163,114883521.25402406
Humboldt,California,G06,commercial,2022,G0600230,elec,1186592.1797073733,64041144.51191571
Monterey,California,G06,commercial,2022,G0600530,elec,3829098.8475918234,206015619.79161727
San Luis Obispo,California,G06,commercial,2022,G0600790,elec,3138794.1848771814,169402744.61553487
San Mateo,California,G06,commercial,2022,G0600810,elec,9212033.3379494,482884684.88741606
Santa Barbara,California,G06,commercial,2022,G0600830,elec,4689284.431606601,205645047.8179838
Butte,California,G06,commercial,2022,G0600070,ng,1416314.3246959276,11324381.33657218
Humboldt,California,G06,commercial,2022,G0600230,ng,902882.3621807095,7219149.021366758
Monterey,California,G06,commercial,2022,G0600530,ng,2981399.2802230716,23838283.476481047
San Luis Obispo,California,G06,commercial,2022,G0600790,ng,2409529.759740795,19890770.315518685
San Mateo,California,G06,commercial,2022,G0600810,ng,7410606.13886454,59252757.94456361
Santa Barbara,California,G06,commercial,2022,G0600830,ng,3509717.0000846265,28972862.624066573
Butte,California,G06,residential,2022,G0600070,elec,1802341.2674745815,102288013.07162127
Humboldt,California,G06,residential,2022,G0600230,elec,899878.4364435808,51068290.284485675
Monterey,California,G06,residential,2022,G0600530,elec,2301068.773102142,130592223.01470517
San Luis Obispo,California,G06,residential,2022,G0600790,elec,1739293.009963967,98709844.4461849
San Mateo,California,G06,residential,2022,G0600810,elec,4755998.073595387,269877333.12713104
Santa Barbara,California,G06,residential,2022,G0600830,elec,2280591.0023281886,114455435.46885234
Santa Barbara,California,G06,industrial,2022,G0600830,elec,2342948.9206718667,75908750.21197926
Monterey,California,G06,industrial,2022,G0600530,elec,768098.9552771706,24885489.91392328
Humboldt,California,G06,industrial,2022,G0600230,elec,696706.7499238991,22572467.621619225
Butte,California,G06,industrial,2022,G0600070,elec,2413408.1252228958,78191544.39123335
San Mateo,California,G06,industrial,2022,G0600810,elec,858300.0783252091,27807898.70307014
San Luis Obispo,California,G06,industrial,2022,G0600790,elec,1058147.5023505816,34282716.85083381
Monterey,California,G06,residential,2022,G0600530,ng,4868838.220537454,58147038.10505099
San Luis Obispo,California,G06,residential,2022,G0600790,ng,3723196.274858931,36767166.42084105
San Mateo,California,G06,residential,2022,G0600810,ng,10790969.790360706,128948089.58150794
Santa Barbara,California,G06,residential,2022,G0600830,ng,5202103.427023636,51149543.4220435
Butte,California,G06,residential,2022,G0600070,ng,2689406.1310541513,32138366.06278904
Humboldt,California,G06,residential,2022,G0600230,ng,1952059.4556062478,23327083.49300215
Santa Barbara,California,G06,industrial,2022,G0600830,ng,20045839.200155754,150984333.20339242
Monterey,California,G06,industrial,2022,G0600530,ng,16775712.450199986,126353889.85289332
Humboldt,California,G06,industrial,2022,G0600230,ng,868243.1861997704,6539567.4991617175
Butte,California,G06,industrial,2022,G0600070,ng,2827833.7460677475,21299112.91300658
