County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Columbia,Oregon,G41,commercial,2022,G4100090,elec,382738.2162195946,8756193.503842125
Lake,Oregon,G41,commercial,2022,G4100370,elec,65670.55235825047,1709743.2467497312
Tillamook,Oregon,G41,commercial,2022,G4100570,elec,349755.7509187074,8471656.552826565
Columbia,Oregon,G41,commercial,2022,G4100090,ng,211202.01720921052,1920487.379675619
Lake,Oregon,G41,commercial,2022,G4100370,ng,806.399113468303,87.68401553464471
Tillamook,Oregon,G41,commercial,2022,G4100570,ng,202753.54093109604,1843664.2872088004
Columbia,Oregon,G41,residential,2022,G4100090,elec,644608.7469058355,18898153.519534994
Lake,Oregon,G41,residential,2022,G4100370,elec,126975.14210203795,3963298.2077716696
Tillamook,Oregon,G41,residential,2022,G4100570,elec,347683.3259792111,10656125.997960037
Tillamook,Oregon,G41,industrial,2022,G4100570,elec,941748.34051858,15488063.358321948
Columbia,Oregon,G41,industrial,2022,G4100090,elec,613418.7561307801,10088330.556446724
Lake,Oregon,G41,industrial,2022,G4100370,elec,102376.34578157056,1683689.0086637354
Tillamook,Oregon,G41,industrial,2022,G4100570,ng,1265646.728454825,8044609.946209618
Columbia,Oregon,G41,industrial,2022,G4100090,ng,8144070.325180572,51764736.29459264
Lake,Oregon,G41,industrial,2022,G4100370,ng,27916.94692412205,177443.62928807034
Columbia,Oregon,G41,residential,2022,G4100090,ng,440614.74467246403,4704372.437541185
Lake,Oregon,G41,residential,2022,G4100370,ng,5999.70723432468,64316.50317365971
Tillamook,Oregon,G41,residential,2022,G4100570,ng,57224.424605906475,618024.6117534873
Crook,Oregon,G41,commercial,2022,G4100130,elec,168925.27561374984,4241123.46576717
Josephine,Oregon,G41,commercial,2022,G4100330,elec,897297.7044792561,24064040.442935415
Lincoln,Oregon,G41,commercial,2022,G4100410,elec,712415.699625948,17470547.508898087
Crook,Oregon,G41,commercial,2022,G4100130,ng,114060.6809159822,850449.0954890716
Josephine,Oregon,G41,commercial,2022,G4100330,ng,431864.4447651999,3997368.980868118
Lincoln,Oregon,G41,commercial,2022,G4100410,ng,410681.2604362633,3734378.052572489
Crook,Oregon,G41,residential,2022,G4100130,elec,344568.77262202895,10664395.324857047
Josephine,Oregon,G41,residential,2022,G4100330,elec,1345756.964538897,42414918.654352285
Lincoln,Oregon,G41,residential,2022,G4100410,elec,654570.1776566477,18640418.34475264
Lincoln,Oregon,G41,industrial,2022,G4100410,elec,96317.8036863326,1584049.7740690291
Josephine,Oregon,G41,industrial,2022,G4100330,elec,747503.8151467657,12293503.42492279
Crook,Oregon,G41,industrial,2022,G4100130,elec,261431.72636014386,4299525.6455793185
Lincoln,Oregon,G41,industrial,2022,G4100410,ng,5492496.966114976,34911002.20128413
Josephine,Oregon,G41,industrial,2022,G4100330,ng,483267.0016657582,3071705.9040808
Crook,Oregon,G41,industrial,2022,G4100130,ng,54185.54115935424,344410.12136416923
Crook,Oregon,G41,residential,2022,G4100130,ng,189547.31056605038,1596888.8074082653
Josephine,Oregon,G41,residential,2022,G4100330,ng,538071.9491857047,6550746.556306499
Lincoln,Oregon,G41,residential,2022,G4100410,ng,325342.2867392915,3513701.392571951
Curry,Oregon,G41,commercial,2022,G4100150,elec,307561.0909390382,9465347.120857546
Multnomah,Oregon,G41,commercial,2022,G4100510,elec,17511191.099081706,458822746.86704934
Curry,Oregon,G41,commercial,2022,G4100150,ng,2151.7557530851177,233.97171663304522
Multnomah,Oregon,G41,commercial,2022,G4100510,ng,11092104.455044344,100861946.77674249
Curry,Oregon,G41,residential,2022,G4100150,elec,408885.0405329374,13514705.077449564
