County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Adams,Washington,G53,commercial,2022,G5300010,elec,157213.20803103904,3889699.2337304987
Benton,Washington,G53,commercial,2022,G5300050,elec,2586677.0161223128,48833908.59039369
Clark,Washington,G53,commercial,2022,G5300110,elec,7133744.015879033,156019365.1361423
Pierce,Washington,G53,commercial,2022,G5300530,elec,13473633.237911051,348491752.11575633
Adams,Washington,G53,commercial,2022,G5300010,ng,175278.2369959322,1427009.2873570104
Benton,Washington,G53,commercial,2022,G5300050,ng,809852.3286779321,6722862.883866097
Clark,Washington,G53,commercial,2022,G5300110,ng,4623768.266692461,40926869.42103791
Pierce,Washington,G53,commercial,2022,G5300530,ng,8808208.312601622,71696317.40077749
Adams,Washington,G53,residential,2022,G5300010,elec,252805.99690945647,6695452.9261260955
Benton,Washington,G53,residential,2022,G5300050,elec,3534265.374368008,84157172.49427137
Clark,Washington,G53,residential,2022,G5300110,elec,6759714.09469973,178270281.7411241
Pierce,Washington,G53,residential,2022,G5300530,elec,11932987.999475056,328851313.50312895
Clark,Washington,G53,industrial,2022,G5300110,elec,7663627.947186465,92390653.38524136
Pierce,Washington,G53,industrial,2022,G5300530,elec,5838779.187684247,70390763.72703378
Benton,Washington,G53,industrial,2022,G5300050,elec,3873535.614070389,46698311.6562113
Adams,Washington,G53,industrial,2022,G5300010,elec,509285.8779532891,6139814.63456289
Clark,Washington,G53,industrial,2022,G5300110,ng,5045071.958620518,41804769.73092934
Pierce,Washington,G53,industrial,2022,G5300530,ng,5532675.726885429,45845180.53565882
Benton,Washington,G53,industrial,2022,G5300050,ng,3736999.0425319737,30965739.58490561
Adams,Washington,G53,industrial,2022,G5300010,ng,1715875.965489214,14218191.576344956
Adams,Washington,G53,residential,2022,G5300010,ng,92162.07741443973,887089.6639342336
Benton,Washington,G53,residential,2022,G5300050,ng,856141.0494478344,8001125.781467958
Clark,Washington,G53,residential,2022,G5300110,ng,4417223.311726943,40901136.41811288
Pierce,Washington,G53,residential,2022,G5300530,ng,9564895.12994081,97462577.0509569
Asotin,Washington,G53,commercial,2022,G5300030,elec,229366.19791052115,6355542.579377824
Cowlitz,Washington,G53,commercial,2022,G5300150,elec,1306015.7509255933,31782966.270996094
Kittitas,Washington,G53,commercial,2022,G5300370,elec,450607.9526023774,11715786.026281519
Skamania,Washington,G53,commercial,2022,G5300590,elec,73117.36234188438,1680019.2659243434
Asotin,Washington,G53,commercial,2022,G5300030,ng,182703.80921220029,1436441.392137508
Cowlitz,Washington,G53,commercial,2022,G5300150,ng,840045.3772806107,7118959.831674921
Kittitas,Washington,G53,commercial,2022,G5300370,ng,404333.45057010476,3202838.297598672
Skamania,Washington,G53,commercial,2022,G5300590,ng,81243.1776450238,719116.6882659785
Asotin,Washington,G53,residential,2022,G5300030,elec,336467.37959082227,9196550.973145567
Cowlitz,Washington,G53,residential,2022,G5300150,elec,2029982.5171820445,49335247.84361479
Kittitas,Washington,G53,residential,2022,G5300370,elec,559643.5065122129,17623190.459547125
Skamania,Washington,G53,residential,2022,G5300590,elec,211360.42486018952,5565726.930264168
Cowlitz,Washington,G53,industrial,2022,G5300150,elec,9832767.80774031,118541224.67884322
Skamania,Washington,G53,industrial,2022,G5300590,elec,124295.08714367484,1498468.4007259996
Asotin,Washington,G53,industrial,2022,G5300030,elec,86604.0266094977,1044075.0333113209
Kittitas,Washington,G53,industrial,2022,G5300370,elec,406534.46664637857,4901071.040494444
Cowlitz,Washington,G53,industrial,2022,G5300150,ng,13638593.846385587,113012912.37830359
Skamania,Washington,G53,industrial,2022,G5300590,ng,31588.237927906997,261748.3008395061
Asotin,Washington,G53,industrial,2022,G5300030,ng,10227.022292201762,84743.74904168412
Kittitas,Washington,G53,industrial,2022,G5300370,ng,116469.2340736657,965094.1653800758
Asotin,Washington,G53,residential,2022,G5300030,ng,356233.37529433594,3402172.8517857157
Cowlitz,Washington,G53,residential,2022,G5300150,ng,332529.1536689763,3012970.5983214728
Kittitas,Washington,G53,residential,2022,G5300370,ng,272525.8136543626,2764641.857390948
Skamania,Washington,G53,residential,2022,G5300590,ng,65898.14863851719,610785.1319177189
